name,part_url,price,size,color,rpm,airflow,noise_level,pwm
DARKROCK F120 3-Pack,https://pcpartpicker.com/product/6WwD4D/darkrock-f120-120-mm-fans-3-pack-dr-fan-f120-bk-x3,14.99,120,Black,"800,1600",,,true
Lian Li UNI FAN AL120 V2 3-Pack,https://pcpartpicker.com/product/fskH99/lian-li-uni-fan-al120-v2-773-cfm-120-mm-fans-3-pack-al120v2-3w,,120,White,"250,2000",77.3,28.7,true
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,https://pcpartpicker.com/product/LgP8TW/corsair-icue-link-qx120-rgb-starter-kit-631-cfm-120-mm-fans-3-pack-co-9051006-ww,145.99,120,White,"480,2400","16.44,63.1",,true
Noctua A12x25 PWM,https://pcpartpicker.com/product/zxx2FT/noctua-nf-a12x25-pwm-601-cfm-120mm-fan-nf-a12x25-pwm,40.95,120,Brown,"450,2000","49.73,60.1","18.8,22.6",true
Noctua F12 PWM,https://pcpartpicker.com/product/b2vRsY/noctua-nf-f12-pwm-5497-cfm-120-mm-fan-nf-f12-pwm,21.95,120,Brown,"300,1500","43.73,54.97","18.6,22.4",true
Noctua A12x15 PWM,https://pcpartpicker.com/product/rhQRsY/noctua-nf-a12x15-pwm-942-cfm-120mm-fan-nf-a12x15-pwm,23.95,120,Brown,"450,1850","41.67,55.44","16.8,23.9",true
Thermalright TL-S12-S X3 3-Pack,https://pcpartpicker.com/product/4bV2FT/thermalright-tl-s12-s-x3-476-cfm-120-mm-fans-3-pack-tl-s12-s-x3,16.29,120,Black,1500,47.6,"23,23.2",true
Phanteks T30-120,https://pcpartpicker.com/product/LqrRsY/phanteks-t30-120-101-cfm-120-mm-fan-ph-f120t30_bg,36.98,120,Black,,"0,101","0,39.7",true
Corsair RS120-R 3-Pack,https://pcpartpicker.com/product/kjvscf/corsair-rs120-r-6582-cfm-120-mm-fans-3-pack-co-9050196-ww,56.99,120,Black,"420,2100","13.33,65.82","10,34.6",true
Phanteks M25G2-120 D-RGB Reverse 3-Pack,https://pcpartpicker.com/product/CL2j4D/phanteks-m25g2-120-d-rgb-reverse-7369-cfm-120-mm-fans-3-pack-ph-f120m25r_g2_dbk01_3p,36.99,120,Black,"350,2000",73.69,39.28,true
ARCTIC P12 Slim PWM PST,https://pcpartpicker.com/product/YCbTwP/arctic-p12-slim-pwm-pst-411-cfm-120-mm-fan-acfan00187a,9.99,120,Black,"300,2100",41.1,22.5,true
ARCTIC P12 Pro Reverse A-RGB 3-Pack,https://pcpartpicker.com/product/s2fV3C/arctic-p12-pro-reverse-a-rgb-73-cfm-120-mm-fans-3-pack-acfan00334a,34.99,120,White,"500,3000",73,,true
be quiet! Pure Wings 3 PWM 3-Pack,https://pcpartpicker.com/product/x79nTW/be-quiet-pure-wings-3-pwm-471-cfm-120-mm-fans-3-pack-bl137,32.9,120,Black,1500,47.1,28.5,true
Asiahorse DAWN 3-Pack,https://pcpartpicker.com/product/JTtkcf/asiahorse-dawn-71-cfm-120-mm-fans-3-pack-dawn-black-3pack,,120,Black,"900,1850",71,"6,29",true
ARCTIC P12 Pro PST,https://pcpartpicker.com/product/zMrp99/arctic-p12-pro-pst-77-cfm-120-mm-fan-acfan00308a,9.99,120,White,"600,3000",77,,true
Thermalright TL-C12B-S V3 X3 3-Pack,https://pcpartpicker.com/product/yDmNnQ/thermalright-tl-c12b-s-v3-x3-6617-cfm-120-mm-fans-3-pack-tl-c12b-s-v3-x3,17.9,120,Black,1500,66.17,25.6,true
Lian Li UNI FAN TL Wireless 3-Pack,https://pcpartpicker.com/product/nGfV3C/lian-li-uni-fan-tl-wireless-901-cfm-120-mm-fans-3-pack-12tl1w3w,101.99,120,White,"200,2600",90.1,33,true
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/vDC48d/lian-li-uni-fan-sl-infinity-727-cfm-140-mm-fan-uf-slin140-1w,49.25,140,White,"200,1600",72.7,28,true
be quiet! Pure Wings 3,https://pcpartpicker.com/product/RRMMnQ/be-quiet-pure-wings-3-574-cfm-140-mm-fan-bl108,13.9,140,Black,1200,57.4,21.9,true
Thermalright TL-C12RB-S V2,https://pcpartpicker.com/product/gBzXsY/thermalright-tl-c12rb-s-v2-58-cfm-120-mm-fan-tl-c12rb-s-v2,8.9,120,Black / White,1500,58,25.6,true
Corsair iCUE LINK LX120 RGB 3-Pack,https://pcpartpicker.com/product/pfwmP6/corsair-icue-link-lx120-rgb-120-mm-fans-3-pack-co-9051030-ww,124.99,120,White,"400,2400",,"10,36",true
ARCTIC P14 Pro A-RGB 3-Pack,https://pcpartpicker.com/product/Hw8Pxr/arctic-p14-pro-a-rgb-110-cfm-140-mm-fans-3-pack-acfan00320a,32.99,140,Black,"400,2500",110,,true
ARCTIC P12 Pro A-RGB,https://pcpartpicker.com/product/L7gZxr/arctic-p12-pro-a-rgb-77-cfm-120-mm-fan-acfan00311a,13.49,120,White,"600,3000",77,,true
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,https://pcpartpicker.com/product/nBrqqs/corsair-icue-link-qx140-rgb-starter-kit-825-cfm-140-mm-fans-2-pack-co-9051004-ww,169.99,140,Black,"400,2000","12.1,82.5",,true
Thermalright TL-P12W-S,https://pcpartpicker.com/product/7ffxFT/thermalright-tl-p12w-s-5286-cfm-120-mm-fan-tl-p12w-s,10.39,120,White,1500,52.86,22.1,true
Thermalright TL-M12Q X3 3-Pack,https://pcpartpicker.com/product/kHqNnQ/thermalright-tl-m12q-x3-689-cfm-120-mm-fans-3-pack-tl-m12q-x3,33.9,120,Black,2000,68.9,28.2,true
Montech AX120,https://pcpartpicker.com/product/bfCZxr/montech-ax120-59-cfm-120-mm-fan-ax120-pwm-black,12.9,120,Black,"800,1600",59,27,true
Noctua A9x14 HS-PWM chromax.Black.swap,https://pcpartpicker.com/product/NbpmP6/noctua-nf-a9x14-hs-pwm-chromaxblackswap-3384-cfm-92-mm-fan-nf-a9x14-hs-pwm-chromaxblackswap,28.95,92,Black / Multicolor,"600,2500",33.84,23.6,true
