name,part_url,price,type,efficiency,wattage,modular,color
LC-Power LC V2.31,https://pcpartpicker.com/product/LrMMnQ/lc-power-lc-v231-550-w-80-platinum-certified-fully-modular-atx-power-supply-lc550-v231,,ATX,platinum,550,Full,Black
GameMax RGB Pro,https://pcpartpicker.com/product/6MjRsY/gamemax-rgb-pro-1050-w-80-gold-certified-fully-modular-atx-power-supply-rgb1050-white,,ATX,gold,1050,Full,White
Xilence XP750R12,https://pcpartpicker.com/product/2yhv6h/xilence-xp750r12-750-w-80-gold-certified-atx-power-supply-xn330,,ATX,gold,750,false,Black
Phanteks Revolt X,https://pcpartpicker.com/product/KMx2FT/phanteks-revolt-x-1000w-80-platinum-certified-fully-modular-atx-power-supply-ph-p1000ps,,ATX,platinum,1000,Full,Black / Silver
SeaSonic FOCUS,https://pcpartpicker.com/product/gPXYcf/seasonic-focus-550-w-80-gold-certified-semi-modular-atx-power-supply-focus-gm-550,,ATX,gold,550,Semi,Black
Gigabyte AORUS P GM,https://pcpartpicker.com/product/8V6qqs/gigabyte-aorus-p-gm-750-w-80-gold-certified-fully-modular-atx-power-supply-gp-ap750gm,,ATX,gold,750,Full,Black / Silver
MSI MPG A750G PCIE5,https://pcpartpicker.com/product/fchFf7/msi-mpg-a750g-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a750g-pcie5,,ATX,gold,750,Full,Black
SeaSonic Platinum,https://pcpartpicker.com/product/CfXfrH/seasonic-power-supply-ss660xp2,,ATX,platinum,660,Full,
SeaSonic M12II,https://pcpartpicker.com/product/TgW9TW/seasonic-power-supply-m12ii520bronze,,ATX,bronze,520,Full,
Thermaltake Smart,https://pcpartpicker.com/product/7bJwrH/thermaltake-smart-850-w-80-bronze-certified-semi-modular-atx-power-supply-sp-850m,,ATX,bronze,850,Semi,
EVGA SuperNOVA 450 GM,https://pcpartpicker.com/product/KMQG3C/evga-supernova-450-gm-450-w-80-gold-certified-fully-modular-sfx-power-supply-123-gm-0450-y1,,SFX,gold,450,Full,Black
SeaSonic G,https://pcpartpicker.com/product/dTK7YJ/seasonic-power-supply-ssr360gp,,ATX,gold,360,false,
Thermaltake TPD-0550M,https://pcpartpicker.com/product/N63RsY/thermaltake-power-supply-pstpd0550mpcgus1,,ATX,gold,550,Semi,
Chieftec PowerPlay GPU-FC,https://pcpartpicker.com/product/XxNscf/chieftec-powerplay-gpu-fc-1200-w-80-platinum-certified-fully-modular-atx-power-supply-gpu-1200fc,,ATX,platinum,1200,Full,Black / Red
EVGA 750 B3,https://pcpartpicker.com/product/tjM323/evga-750-b3-850-w-80-bronze-certified-fully-modular-atx-power-supply-220-b3-0850-v1,,ATX,bronze,850,Full,
