name,part_url,price,bd,dvd,cd,bd_write,dvd_write,cd_write
Samsung SH-224DB/RSBS,https://pcpartpicker.com/product/Znbp99/samsung-optical-drive-sh224dbrsbs,,,16,48,,24/8/8/24/6/8/5,48/24
HP 624192-B21,https://pcpartpicker.com/product/sQXfrH/hp-optical-drive-624192b21,,,,,,16/8/8/16/6/8/5,40/24
Asus DRW-2014L1T,https://pcpartpicker.com/product/B6YXsY/asus-optical-drive-drw2014l1t,,,16,48,,20/8/8/20/6/8/14,48/32
Samsung SH-S223Q,https://pcpartpicker.com/product/Xz2kcf/samsung-optical-drive-shs223q,,,16,48,,22/8/16/22/6/12/12,48/32
Pioneer BDR-S08XLT,https://pcpartpicker.com/product/CsqdnQ/pioneer-optical-drive-bdrs08xlt,,,,,,,
Samsung SN-208FB/BEBE,https://pcpartpicker.com/product/Lkh9TW/samsung-optical-drive-sn208fbbebe,,,8,24,,8/8/6/8/6/6/5,24/-
OcUK iHAS124-14,https://pcpartpicker.com/product/Tpdqqs/ocuk-optical-drive-ihas12414,,,16,48,,24/8/8/24/6/8/5,48/24
OcUK CD-005-OK,https://pcpartpicker.com/product/Z9xfrH/ocuk-optical-drive-cd005ok,,10,16,40,6/-/8/-,16/8/8/12/8/8/12,48/40
I/O Magic IDVD24S,https://pcpartpicker.com/product/RwrcCJ/io-magic-optical-drive-idvd24s,,,,,,24/8/16/24/1/16/12,48/32
Samsung SH-118CB/BEBE,https://pcpartpicker.com/product/gPx9TW/samsung-optical-drive-sh118cbbebe,,,18,48,,,
Lenovo 0A65618,https://pcpartpicker.com/product/7CmxFT/lenovo-optical-drive-0a65618,,,,,,16/12/12/16/12/12/12,48/40
Samsung SH-224FB/RSMS,https://pcpartpicker.com/product/dBZ2FT/samsung-optical-drive-sh224fbrsms,,,,,,24/8/8/24/8/8/5,48/24
Pioneer BDR-213EBK,https://pcpartpicker.com/product/WFWJ7P/pioneer-bdr-213ebk-bdr-213ebk,,,,,,,
LG GH22LP21,https://pcpartpicker.com/product/FQH323/lg-optical-drive-gh22lp21,,,16,48,,22/8/16/22/6/12/12,48/32
LG GH22NS70 OEM,https://pcpartpicker.com/product/3hzv6h/lg-optical-drive-gh22ns70oem,,,16,48,,22/8/8/22/6/8/12,48/32
LG GH24LS70,https://pcpartpicker.com/product/9bPfrH/lg-optical-drive-gh24ls70,,,16,48,,24/8/8/24/6/8/12,48/32
Lite-On IHBS112-29,https://pcpartpicker.com/product/Y3YXsY/lite-on-optical-drive-ihbs11229,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
Lite-On iHAP122-04,https://pcpartpicker.com/product/tv9KHx/lite-on-optical-drive-ihap12204,,,16,48,,22/8/8/22/6/8/12,48/32
Lite-On iHAP222-06,https://pcpartpicker.com/product/ZVvRsY/lite-on-optical-drive-ihap22206,,,16,48,,22/8/8/22/6/8/12,48/32
