name,part_url,price,socket,form_factor,max_memory,memory_slots,color
MSI Z170A GAMING M3,https://pcpartpicker.com/product/R9Gj4D/msi-motherboard-z170agamingm3,,LGA1151,ATX,64,4,Black / Red
Gigabyte GA-Z170X-Gaming 5,https://pcpartpicker.com/product/2GcMnQ/gigabyte-motherboard-gaz170xgaming5,,LGA1151,ATX,64,4,Black / Red
MSI H270 TOMAHAWK ARCTIC,https://pcpartpicker.com/product/hbGj4D/msi-h270-tomahawk-arctic-atx-lga1151-motherboard-h270-tomahawk-arctic,,LGA1151,ATX,64,4,White / Silver
MSI B250I GAMING PRO AC,https://pcpartpicker.com/product/fdYWGX/msi-b250i-gaming-pro-ac-mini-itx-lga1151-motherboard-b250i-gaming-pro-ac,,LGA1151,Mini ITX,32,2,Red
ASRock Fatal1ty X370 Gaming K4,https://pcpartpicker.com/product/kZKhP6/asrock-fatal1ty-x370-gaming-k4-atx-am4-motherboard-fatal1ty-x370-gaming-k4,,AM4,ATX,64,4,Black / Red
Gigabyte GA-AX370-Gaming,https://pcpartpicker.com/product/dQ4NnQ/gigabyte-ga-ax370-gaming-atx-am4-motherboard-ga-ax370-gaming,,AM4,ATX,64,4,Black / Red
ASRock Fatal1ty X399 Professional Gaming,https://pcpartpicker.com/product/x2X2FT/asrock-x399-professional-gaming-atx-tr4-motherboard-x399-professional-gaming,,sTR4,ATX,128,8,Black / Silver
EVGA X299 DARK,https://pcpartpicker.com/product/HHWfrH/evga-x299-dark-eatx-lga2066-motherboard-151-sx-e299-kr,,LGA2066,EATX,64,4,Black / Silver
MSI B360M MORTAR TITANIUM,https://pcpartpicker.com/product/dFKcCJ/msi-b360m-mortar-titanium-micro-atx-lga1151-motherboard-b360m-mortar-titanium,,LGA1151,Micro ATX,64,4,White
Gigabyte B360 HD3,https://pcpartpicker.com/product/yqBTwP/gigabyte-b360-hd3-atx-lga1151-motherboard-b360-hd3,,LGA1151,ATX,64,4,Silver / Black
Asus TUF H370-Pro Gaming (WI-FI),https://pcpartpicker.com/product/WrtQzy/asus-tuf-h370-pro-gaming-wi-fi-atx-lga1151-motherboard-tuf-h370-pro-gaming-wi-fi,,LGA1151,ATX,64,4,Black / Silver
ASRock Z390 Taichi,https://pcpartpicker.com/product/TnhKHx/asrock-z390-taichi-atx-lga1151-motherboard-z390-taichi,,LGA1151,ATX,128,4,Black / Silver
MSI B460M PRO,https://pcpartpicker.com/product/2qn8TW/msi-b460m-pro-micro-atx-lga1200-motherboard-b460m-pro,,LGA1200,Micro ATX,64,2,Black
NZXT N7 Z490,https://pcpartpicker.com/product/vQrYcf/nzxt-n7-z490-atx-lga1200-motherboard-n7-z49xt-b1,,LGA1200,ATX,128,4,Black
MSI B460M PRO-VDH,https://pcpartpicker.com/product/ZDGnTW/msi-b460m-pro-vdh-micro-atx-lga1200-motherboard-b460m-pro-vdh,,LGA1200,Micro ATX,128,4,Black
Asus PRIME H310M-D R2.0,https://pcpartpicker.com/product/kfqPxr/asus-prime-h310m-d-r20-micro-atx-lga1151-motherboard-prime-h310m-d-r20,,LGA1151,Micro ATX,32,2,Black
Biostar H510MHP 2.0,https://pcpartpicker.com/product/zZBG3C/biostar-h510mhp-20-micro-atx-lga1200-motherboard-h510mhp-20,,LGA1200,Micro ATX,64,2,Black
Asus PRIME H610M-K ARGB,https://pcpartpicker.com/product/rZ9wrH/asus-prime-h610m-k-argb-micro-atx-lga1700-motherboard-prime-h610m-k-argb,,LGA1700,Micro ATX,96,2,Black
