name,part_url,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Glorious MODEL O,https://pcpartpicker.com/product/ddjJ7P/glorious-pc-gaming-race-model-o-wired-optical-mouse-go-white,62.99,Optical,Wired,12000,Right,White
Asus ROG Harpe II Ace,https://pcpartpicker.com/product/8hxTwP/asus-rog-harpe-ii-ace-bluetoothwirelesswired-optical-mouse-90mp0490-bmaa00,192.97,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black
Corsair NIGHTSABRE RGB,https://pcpartpicker.com/product/4BGhP6/corsair-nightsabre-rgb-wirelessbluetoothwired-optical-mouse-ch-931b011-na,151.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer Basilisk V3 Pro w/Dock Pro,https://pcpartpicker.com/product/gg2WGX/razer-basilisk-v3-pro-wdock-pro-wiredbluetoothwireless-optical-mouse-rzhb-220819-01,,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer Basilisk V3 Pro w/Dock Pro,https://pcpartpicker.com/product/pVJp99/razer-basilisk-v3-pro-wdock-pro-wirelessbluetoothwired-optical-mouse-rzhb-221026-01,245.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White
Razer DeathAdder V3 HyperSpeed,https://pcpartpicker.com/product/dNtLrH/razer-deathadder-v3-hyperspeed-wiredwireless-optical-mouse-rz01-05140100-r3u1,74.5,Optical,"Wired, Wireless",26000,Right,Black
Corsair HARPOON RGB PRO,https://pcpartpicker.com/product/KLVD4D/corsair-harpoon-rgb-pro-wired-optical-mouse-ch-9301111-na,39.99,Optical,Wired,12000,Right,Black
Razer Viper Ultimate w/Dock,https://pcpartpicker.com/product/V6QfrH/razer-viper-ultimate-wdock-wireless-optical-mouse-rz01-03050100-r3u1,,Optical,Wireless,20000,Both,Black
MSI CLUTCH,https://pcpartpicker.com/product/W9Fbt6/msi-clutch-gm08-wired-optical-mouse-clutch-gm08,19.98,Optical,Wired,4200,Right,Black
V7 Full size USB Optical Mouse,https://pcpartpicker.com/product/bWH323/v7-mouse-mv30000105nc,,Optical,Wired,1000,Both,Silver / Black
SteelSeries Rival 3,https://pcpartpicker.com/product/qxDkcf/steelseries-rival-3-wireless-optical-mouse-62521,30.2,Optical,Wireless,18000,Right,Black
