name,part_url,price,configuration,wattage,frequency_response,color
Creative Labs Inspire T6300,https://pcpartpicker.com/product/GGyFf7/creative-labs-inspire-t6300-57w-51ch-speakers-51mf4115aa002,,5.1,57,"50,20",Black
Kanto YU2GT,https://pcpartpicker.com/product/8jCD4D/kanto-yu2gt-50w-2ch-speakers-yu2gt,,2,50,"80,20",Blue / Black
Edifier S880DB,https://pcpartpicker.com/product/DkF48d/edifier-s880db-20-w-2ch-speakers-s880db,,2,20,"55,20",White / Brown
KEF LSXGRN,https://pcpartpicker.com/product/RNCFf7/kef-lsxgrn-200-w-20-channel-speakers-lsxgrn,,2,200,"49,47",Green / Black
SteelSeries Arena 7 EU,https://pcpartpicker.com/product/3H88TW/steelseries-arena-7-eu-21-channel-speakers-61543,,2.1,,"35,20",Black
Logitech X-140,https://pcpartpicker.com/product/Jk2kcf/logitech-speakers-9702640403,,2,4,"80,18",
Harman Kardon SoundSticks III,https://pcpartpicker.com/product/Vj6BD3/harman-kardon-speakers-soundsticksiii,,2.1,40,"44,20",
KRK RP5 G2,https://pcpartpicker.com/product/cVjG3C/krk-speakers-rp5g2,,2,90,"52,20",
Edifier R19U,https://pcpartpicker.com/product/xntWGX/edifier-speakers-r19u,,2,4,"150,20",
Logitech X-530,https://pcpartpicker.com/product/m898TW/logitech-x-530-701w-51ch-speakers-x-530,,5.1,70.1,"40,20",
Vanatoo Transparent One Encore,https://pcpartpicker.com/product/8CXJ7P/vanatoo-transparent-one-encore-240-w-20-channel-speakers-t1e-black,,2,240,"48,20",Black
ADAM Audio A7X,https://pcpartpicker.com/product/cGKKHx/adam-audio-a7x-300-w-10-channel-speakers-a7x,,1,300,"42,50",Black
SteelSeries Arena 7 AU,https://pcpartpicker.com/product/F4BzK8/steelseries-arena-7-au-21-channel-speakers-61544,,2.1,,"35,20",Black
Kanto ORA,https://pcpartpicker.com/product/8NG2FT/kanto-ora-100-w-speakers-oramw,326.77,2,100,"70,22",White / Black
Mackie MR624,https://pcpartpicker.com/product/kjGxFT/mackie-mr624-0065w-1ch-speakers-2048420-00,249.99,1,65,"38,20",Black
Razer NOMMO PRO,https://pcpartpicker.com/product/cX66Mp/razer-nommo-pro-0-nw-21ch-speakers-rz05-02470100-r3u1,,2.1,,"35,20",Black
Genius 31730027102,https://pcpartpicker.com/product/8bmLrH/genius-speakers-31730027102,,2,30,"50,20",
Logitech Z130,https://pcpartpicker.com/product/s8phP6/logitech-speakers-980000417,,2,5,"140,18",
Logitech Z523,https://pcpartpicker.com/product/4GphP6/logitech-speakers-980000319,,2.1,40,"48,20",
M-Audio Studiophile AV30,https://pcpartpicker.com/product/Ck2kcf/m-audio-speaker-av30,,2,20,"90,20",
Logitech Z-2300,https://pcpartpicker.com/product/6y4NnQ/logitech-speakers-z2300,,2.1,200,,
Altec Lansing VS3030,https://pcpartpicker.com/product/kH98TW/altec-lansing-vs3030-0w-2ch-speakers-vs3030,,2,,,
Razer Nommo,https://pcpartpicker.com/product/r9848d/razer-nommo-0-nw-20-channel-speakers-rz05-02450100-r3g1,,2,,"50,20",Black
KEF LSXWH,https://pcpartpicker.com/product/7rFKHx/kef-lsxwh-200-w-20-channel-speakers-lsxwh,,2,200,"49,47",White / Black
Trust GXT 606 JAVV,https://pcpartpicker.com/product/R4TZxr/trust-gxt-606-javv-6-w-speakers-23379,,2,6,"160,20",Gray / Black
Onkyo GX-10DB,https://pcpartpicker.com/product/ksh2FT/onkyo-gx-10db-34-w-speakers-gx10dbbcuu,259,2,34,"20,20",Black
Fluance SX6-BK,https://pcpartpicker.com/product/Tjp323/fluance-speakers-sx6bk,149.99,2,100,"50,20",
Creative Labs Inspire T6160,https://pcpartpicker.com/product/VGphP6/creative-labs-speakers-51mf4105aa002,,5.1,50,"40,20",
Creative Labs A220,https://pcpartpicker.com/product/3gvRsY/creative-labs-speakers-51mf0400aa002,,2.1,9,"40,20",
