name,part_url,size,color,rpm,airflow,pwm,manufacturer,part_number,connectors
In Win Sirius Extreme ASE120P 3-Pack,https://pcpartpicker.com/product/NKt9TW/in-win-sirius-extreme-ase120p-54-cfm-120-mm-fans-3-pack-iw-fn-ase120-3pk,120,Black,"400,1500",54,True,In Win,IW-FN-ASE120-3PK,4-pin PWM|3-pin 5V Addressable RGB
ID-COOLING TF-12025-ARGB-TRIO 3-Pack,https://pcpartpicker.com/product/ThbTwP/id-cooling-tf-12025-argb-trio-682-cfm-120-mm-fans-3-pack-tf-12025-argb-trio,120,Black / White,"500,1500",68.2,True,ID-COOLING,TF-12025-ARGB-TRIO,4-pin PWM|3-pin 5V Addressable RGB
ID-COOLING TF-12025-ARGB-TRIO-SNOW 3-Pack,https://pcpartpicker.com/product/ZyYmP6/id-cooling-tf-12025-argb-trio-snow-682-cfm-120-mm-fans-3-pack-tf-12025-argb-trio-snow,120,White,"500,1500",68.2,True,ID-COOLING,TF-12025-ARGB-TRIO-SNOW,4-pin PWM|3-pin 5V Addressable RGB
ID-COOLING WF-12025,https://pcpartpicker.com/product/BR7G3C/id-cooling-wf-12025-745-cfm-120-mm-fan-wf-12025,120,Black / White,"700,1800",74.5,True,ID-COOLING,WF-12025,4-pin PWM
Thermaltake TOUGHFAN,https://pcpartpicker.com/product/8FLFf7/thermaltake-toughfan-5835-cfm-120-mm-fan-cl-f117-pl12wt-a,120,White,"500,2000",58.35,True,Thermaltake,CL-F117-PL12WT-A,4-pin PWM
ARCTIC P PST 3-Pack,https://pcpartpicker.com/product/DtPQzy/arctic-p-pst-689-cfm-140-mm-fans-3-pack-acfan00255a,140,Black / Transparent,,68.9,True,ARCTIC,ACFAN00255A,4-pin PWM|4-pin 12V RGB
ARCTIC F PST 5-Pack,https://pcpartpicker.com/product/BbqPxr/arctic-f-pst-74-cfm-140-mm-fans-5-pack-acfre00105a,140,Black,"200,1350",74,True,ARCTIC,ACFRE00105A,4-pin PWM
ARCTIC F8 PWM PST,https://pcpartpicker.com/product/zbqPxr/arctic-f8-pwm-pst-31-cfm-80-mm-fan-acfan00204a,80,Black,"300,2000",31,True,ARCTIC,ACFAN00204A,4-pin PWM
ARCTIC F8 Silent,https://pcpartpicker.com/product/Zg2WGX/arctic-f8-silent-151-cfm-80-mm-fan-acfan00245a,80,Black,1200,15.1,False,ARCTIC,ACFAN00245A,3-pin
Thermalright TL-C12 D6,https://pcpartpicker.com/product/snmmP6/thermalright-tl-c12-d6-6617-cfm-120-mm-fan-tl-c12-d6,120,Gray,1500,66.17,True,Thermalright,TL-C12 D6,4-pin PWM
Jonsbo ZG 3-Pack,https://pcpartpicker.com/product/T9cgXL/jonsbo-zg-6045-cfm-120-mm-fans-3-pack-zg-120w3-in-1,120,White,"500,1500","20.1,60.45",True,Jonsbo,ZG-120W(3 in 1),4-pin PWM|3-pin 5V Addressable RGB
Antec Storm T3,https://pcpartpicker.com/product/zYRwrH/antec-storm-t3-11272-cfm-140-mm-fan-0-761345-77729-2,140,Black,"600,1500","44.82,112.72",True,Antec,0-761345-77729-2,4-pin PWM
Thermalright TL-E12,https://pcpartpicker.com/product/3wmNnQ/thermalright-tl-e12-61-cfm-120-mm-fan-tl-e12,120,Gray,1500,61,True,Thermalright,TL-E12,4-pin PWM
Cougar VORTEX VK120 3-Pack,https://pcpartpicker.com/product/tm88TW/cougar-vortex-vk120-4898-cfm-120-mm-fans-3-pack-3mvk12030001,120,Black,"600,1500",48.98,True,Cougar,3MVK1203.0001,4-pin PWM|3-pin 5V Addressable RGB
Alphacool Apex Stealth Metal,https://pcpartpicker.com/product/brhv6h/alphacool-apex-stealth-metal-47-cfm-120-mm-fan-13820,120,White / Black,"400,2000",47,True,Alphacool,13820|AC-13820,4-pin PWM
Rosewill ROCF-22001 5-Pack,https://pcpartpicker.com/product/YgYmP6/rosewill-rocf-22001-321-cfm-120-mm-fans-5-pack-rocf-22001,120,Black,1200,32.1,False,Rosewill,ROCF-22001,3-pin
In Win Neptune DN140 Pro,https://pcpartpicker.com/product/VDdG3C/in-win-neptune-dn140-pro-9166-cfm-140-mm-fan-iw-fn-dn140pro-1pk,140,Black / Red,"900,1800","43.74,91.66",True,In Win,IW-FN-DN140PRO-1PK,4-pin PWM
ID-COOLING FL-12025,https://pcpartpicker.com/product/G4QKHx/id-cooling-fl-12025-45-cfm-120-mm-fan-fl-12025-white,120,White,,45,False,ID-COOLING,FL-12025 WHITE,3-pin
ID-COOLING TF-9215,https://pcpartpicker.com/product/gWTZxr/id-cooling-tf-9215-46-cfm-92-mm-fan-tf-9215-w,92,White,"800,2800",46,True,ID-COOLING,TF-9215-W,4-pin PWM
ENDORFY Stratus,https://pcpartpicker.com/product/CvP8TW/endorfy-stratus-140-mm-fan-ey4a011,140,Black,"200,1200",,True,ENDORFY,EY4A011,4-pin PWM
Thermaltake CT120 EX ARGB Sync 3-Pack,https://pcpartpicker.com/product/gCDnTW/thermaltake-ct120-ex-argb-sync-68-cfm-120-mm-fans-3-pack-cl-f216-pl12gs-a,120,Brown,"500,2000",68,True,Thermaltake,CL-F216-PL12GS-A,4-pin PWM|3-pin 5V Addressable RGB
Silverstone VISTA 120F,https://pcpartpicker.com/product/Qqrp99/silverstone-vista-120f-48-cfm-120-mm-fan-sst-vs120b-f,120,Black,1500,48,False,Silverstone,SST-VS120B-F,3-pin
ARCTIC F9 Pro,https://pcpartpicker.com/product/RnW9TW/arctic-cooling-case-fan-afaco09p00gba01,92,White / Black,2000,39,False,ARCTIC,AFACO-09P00-GBA01,3-pin
Akasa Soho AR,https://pcpartpicker.com/product/FzfnTW/akasa-soho-ar-5291-cfm-120-mm-fan-ak-fn108,120,Black,"500,2000",52.91,True,Akasa,AK-FN108,4-pin PWM|3-pin 5V Addressable RGB
