name,part_url,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,manufacturer,part_number,socket,max_memory,ecc_support
AMD Phenom II X6 1075T,https://pcpartpicker.com/product/cxJwrH/amd-cpu-hdt75tfbgrbox,6,3.0,,K10,95,,AMD,HDT75TFBGRBOX,AM3,,False
AMD Phenom II X4 965,https://pcpartpicker.com/product/7rjG3C/amd-cpu-hdx965fbk4dgm,4,3.4,,K10,125,,AMD,HDX965FBK4DGM,AM3,,False
AMD A6-3650,https://pcpartpicker.com/product/ngMFf7/amd-cpu-ad3650wngxbox,4,2.6,,Lynx,100,Radeon HD 6530D,AMD,AD3650WNGXBOX,FM1,,False
Intel Core i3-2105,https://pcpartpicker.com/product/pLmLrH/intel-cpu-bx80623i32105,2,3.1,,Sandy Bridge,65,Intel HD Graphics 3000,Intel,BX80623I32105,LGA1155,,False
Intel Core i5-2405S,https://pcpartpicker.com/product/DVvRsY/intel-cpu-bx80623i52405s,4,2.5,,Sandy Bridge,65,Intel HD Graphics 3000,Intel,BX80623I52405S,LGA1155,,False
AMD FX-4170,https://pcpartpicker.com/product/YYxfrH/amd-cpu-fd4170frgubox,4,4.2,,Bulldozer,125,,AMD,FD4170FRGUBOX,AM3+,,False
AMD A4-3400,https://pcpartpicker.com/product/vHH323/amd-cpu-ad3400ojhxbox,2,2.7,,Lynx,65,Radeon HD 6410D,AMD,AD3400OJHXBOX,FM1,,False
AMD A10-5700,https://pcpartpicker.com/product/DrK7YJ/amd-cpu-ad5700okhjbox,4,3.4,,Piledriver,65,Radeon HD 7660D,AMD,AD5700OKHJBOX,FM2,,False
AMD A6-5400K,https://pcpartpicker.com/product/qYsKHx/amd-cpu-ad540kokhjbox,2,3.6,,Piledriver,65,Radeon HD 7540D,AMD,AD540KOKHJBOX,FM2,,False
AMD Athlon II X4 651K,https://pcpartpicker.com/product/7yYXsY/amd-cpu-ad651kwngxbox,4,3.0,,Lynx,100,,AMD,AD651KWNGXBOX,FM1,,False
Intel Xeon E3-1220 V2,https://pcpartpicker.com/product/6gGkcf/intel-cpu-bx80637e31220v2,4,3.1,,Ivy Bridge,69,,Intel,BX80637E31220V2,LGA1155,,True
Intel Xeon E3-1225 V2,https://pcpartpicker.com/product/rsDwrH/intel-cpu-bx80637e31225v2,4,3.2,,Ivy Bridge,77,Intel HD Graphics P4000,Intel,BX80637E31225V2,LGA1155,,True
AMD A4-6300,https://pcpartpicker.com/product/qT6BD3/amd-cpu-ad6300okhlbox,2,3.7,3.9,Piledriver,65,Radeon HD 8370D,AMD,AD6300OKHLBOX,FM2,,False
Intel Celeron G1820,https://pcpartpicker.com/product/W67wrH/intel-cpu-bx80646g1820,2,2.7,,Haswell,53,Intel HD Graphics,Intel,BX80646G1820,LGA1150,,False
Intel Xeon E5-2640 V2,https://pcpartpicker.com/product/bqTmP6/intel-cpu-bx80635e52640v2,8,2.0,2.5,Ivy Bridge,95,,Intel,BX80635E52640V2,LGA2011,,True
AMD A10-6700,https://pcpartpicker.com/product/h9xfrH/amd-cpu-ad6700oka44hl,4,3.7,,Piledriver,65,Radeon HD 8670D,AMD,AD6700OKA44HL,FM2,,False
Intel Core i3-4370,https://pcpartpicker.com/product/tLW9TW/intel-cpu-bx80646i34370,2,3.8,,Haswell Refresh,54,Intel HD Graphics 4600,Intel,BX80646I34370,LGA1150,,True
Intel Xeon E5-2630L V2,https://pcpartpicker.com/product/Ks6BD3/intel-cpu-cm8063501376200,6,2.4,,Ivy Bridge,60,,Intel,CM8063501376200,LGA2011,,True
AMD Athlon X4 550,https://pcpartpicker.com/product/y9Trxr/amd-cpu-ad550xjah44hm,4,2.2,,Jaguar,25,,AMD,AD550XJAH44HM,AM1,,False
Intel Xeon E5-1620 V3,https://pcpartpicker.com/product/dfrcCJ/intel-cpu-cm8064401973600,4,3.5,3.6,Haswell,140,,Intel,CM8064401973600,LGA2011-3,,True
Intel Xeon E5-2695 V3,https://pcpartpicker.com/product/gH98TW/intel-cpu-cm8064401438110,14,2.3,3.3,Haswell,120,,Intel,CM8064401438110,LGA2011-3,,True
Intel Core i5-4670S,https://pcpartpicker.com/product/vf8H99/intel-cpu-cm8064601465703,4,3.1,3.8,Haswell,65,Intel HD Graphics 4600,Intel,CM8064601465703,LGA1150,,False
Intel Pentium G4400T,https://pcpartpicker.com/product/fJbkcf/intel-cpu-cm8066201927506,2,2.9,,Skylake,35,Intel HD Graphics 510,Intel,CM8066201927506,LGA1151,64.0,True
AMD Opteron 6344,https://pcpartpicker.com/product/GzQypg/amd-cpu-os6344wktcghkwof,12,2.6,3.2,Piledriver,115,,AMD,OS6344WKTCGHKWOF,G34,,False
AMD Opteron 6378,https://pcpartpicker.com/product/HZNp99/amd-cpu-os6378wktgghkwof,16,2.4,3.3,Piledriver,115,,AMD,OS6378WKTGGHKWOF,G34,,False
Intel Xeon E5-2658 V3,https://pcpartpicker.com/product/8ntWGX/intel-cpu-cm8064401545904,12,2.2,2.9,Haswell,105,,Intel,CM8064401545904,LGA2011-3,768.0,True
Intel Xeon E5-2683 V3,https://pcpartpicker.com/product/K7RFf7/intel-xeon-e5-2683-v3-20ghz-14-core-processor-cm8064401609728,14,2.0,3.0,Haswell,120,,Intel,CM8064401609728,LGA2011-3,,True
Intel Pentium G4560T,https://pcpartpicker.com/product/hxCrxr/intel-pentium-g4560t-29ghz-dual-core-oemtray-processor-cm8067703016117,2,2.9,,Kaby Lake,35,Intel HD Graphics 610,Intel,CM8067703016117,LGA1151,64.0,True
Intel Core i7-7800X,https://pcpartpicker.com/product/djzZxr/intel-core-i7-7800x-35ghz-6-core-processor-bxc80673i77800x,6,3.5,4.0,Skylake,140,,Intel,BXC80673I77800X,LGA2066,128.0,False
Intel Xeon E3-1230 V6,https://pcpartpicker.com/product/HjtWGX/intel-xeon-e3-1230-v6-35ghz-quad-core-processor-bx80677e31230v6,4,3.5,3.9,Kaby Lake,72,,Intel,BX80677E31230V6,LGA1151,64.0,True
Intel Core i9-9820X,https://pcpartpicker.com/product/KnDJ7P/intel-core-i9-9820x-33-ghz-10-core-oemtray-processor-cd8067304126901,10,3.3,4.1,Skylake,165,,Intel,CD8067304126901,LGA2066,128.0,False
Intel Core i5-9500F,https://pcpartpicker.com/product/JfrYcf/intel-core-i5-9500f-3-ghz-6-core-oemtray-processor-cm8068403875414,6,3.0,4.4,Coffee Lake Refresh,65,,Intel,CM8068403875414,LGA1151,128.0,False
Intel Core i5-9600T,https://pcpartpicker.com/product/k9TzK8/intel-core-i5-9600t-23-ghz-6-core-oemtray-processor-cm8068403358709,6,2.3,3.9,Coffee Lake Refresh,35,Intel UHD Graphics 630,Intel,CM8068403358709,LGA1151,128.0,False
Intel Xeon E-2146G,https://pcpartpicker.com/product/nHGnTW/intel-xeon-e-2146g-35-thz-6-core-oemtray-processor-cm8068403380116,6,3.5,4.5,Coffee Lake,80,Intel HD Graphics P630,Intel,CM8068403380116,LGA1151,64.0,True
Intel Xeon E-2124G,https://pcpartpicker.com/product/hmndnQ/intel-xeon-e-2124g-34-thz-quad-core-processor-bx80684e2124g,4,3.4,4.5,Coffee Lake,71,Intel HD Graphics P630,Intel,BX80684E2124G,LGA1151,64.0,True
Intel Core i3-10305,https://pcpartpicker.com/product/HnLFf7/intel-core-i3-10305-38-ghz-quad-core-processor-bx8070110305,4,3.8,4.5,Comet Lake,65,Intel UHD Graphics 630,Intel,BX8070110305,LGA1200,128.0,False
Intel Pentium Gold G6600,https://pcpartpicker.com/product/sX9tt6/intel-pentium-gold-g6600-42-ghz-dual-core-oemtray-processor-cm8070104291510,2,4.2,,Comet Lake,58,Intel UHD Graphics 630,Intel,CM8070104291510,LGA1200,128.0,False
Intel Core 2 Duo E4300,https://pcpartpicker.com/product/cX7wrH/intel-cpu-bx80557e4300,2,1.8,,Core,65,,Intel,BX80557E4300,LGA775,,False
Intel Core 2 Quad Q8400,https://pcpartpicker.com/product/nPkD4D/intel-cpu-bx80580q8400,4,2.66,,Yorkfield,95,,Intel,BX80580Q8400,LGA775,,False
Intel Pentium G4600,https://pcpartpicker.com/product/xJqbt6/intel-pentium-g4600-36ghz-dual-core-oemtray-processor-cm8067703015525,2,3.6,,Kaby Lake,51,Intel HD Graphics 630,Intel,CM8067703015525,LGA1151,64.0,True
AMD Athlon II X2 215,https://pcpartpicker.com/product/DRtCmG/amd-cpu-adx215ock22gq,2,2.7,,K10,65,,AMD,ADX215OCK22GQ,AM3,,False
AMD Athlon II X2 220,https://pcpartpicker.com/product/CRtCmG/amd-cpu-adx220ock22gm,2,2.8,,K10,65,,AMD,ADX220OCK22GM,AM3,,False
AMD Athlon II X4 635,https://pcpartpicker.com/product/2yNp99/amd-cpu-adx635wfgibox,4,2.9,,K10,95,,AMD,ADX635WFGIBOX,AM3,,False
AMD Phenom II X4 925,https://pcpartpicker.com/product/4bYXsY/amd-cpu-hdx925wfgmbox,4,2.8,,K10,95,,AMD,HDX925WFGMBOX,AM3,,False
AMD Athlon II X4 600e,https://pcpartpicker.com/product/vJdqqs/amd-cpu-ad600ehdgibox,4,2.2,,K10,45,,AMD,AD600EHDGIBOX,AM3,,False
AMD Phenom II X3 740 Black,https://pcpartpicker.com/product/tGFPxr/amd-cpu-hdz740wfgibox,3,3.0,,K10,95,,AMD,HDZ740WFGIBOX,AM3,,False
Intel Core 2 Duo E4400,https://pcpartpicker.com/product/yMH323/intel-cpu-bx80557e4400,2,2.0,,Core,65,,Intel,BX80557E4400,LGA775,,False
Intel Core 2 Duo E4500,https://pcpartpicker.com/product/P4TmP6/intel-cpu-bx80557e4500,2,2.2,,Core,65,,Intel,BX80557E4500,LGA775,,False
Intel Pentium E5200,https://pcpartpicker.com/product/hQQypg/intel-cpu-eu80571pg0602m,2,2.5,,Wolfdale,65,,Intel,EU80571PG0602M,LGA775,,False
Intel Pentium E5300,https://pcpartpicker.com/product/pTfp99/intel-cpu-at80571pg0642ml,2,2.6,,Wolfdale,65,,Intel,AT80571PG0642ML,LGA775,,False
Intel Core 2 Duo E6420,https://pcpartpicker.com/product/8GFPxr/intel-cpu-bx80557e6420,2,2.13,,Core,65,,Intel,BX80557E6420,LGA775,,False
Intel Core 2 Duo E6420,https://pcpartpicker.com/product/xwbp99/intel-cpu-hh80557ph0464m,2,2.13,,Core,65,,Intel,HH80557PH0464M,LGA775,,False
Intel Core 2 Duo E7600,https://pcpartpicker.com/product/JKTmP6/intel-cpu-bx80571e7600,2,3.06,,Wolfdale,65,,Intel,BX80571E7600,LGA775,,False
Intel Core i5-750,https://pcpartpicker.com/product/D9H323/intel-cpu-bv80605001911ap,4,2.66,,Nehalem,95,,Intel,BV80605001911AP,LGA1156,,False
Intel Core 2 Extreme X6800,https://pcpartpicker.com/product/BMH323/intel-cpu-bx80557x6800,2,2.93,,Core,75,,Intel,BX80557X6800,LGA775,,False
Intel Celeron E3500,https://pcpartpicker.com/product/2VK7YJ/intel-cpu-bx80571e3500,2,2.7,,Wolfdale,65,,Intel,BX80571E3500,LGA775,,False
Intel Pentium E6700,https://pcpartpicker.com/product/Kpw323/intel-cpu-bx80571e6700,2,3.2,,Wolfdale,65,,Intel,BX80571E6700,LGA775,,False
AMD A8-3850,https://pcpartpicker.com/product/fzV48d/amd-cpu-ad3850wngxbox,4,2.9,,Lynx,100,Radeon HD 6550D,AMD,AD3850WNGXBOX,FM1,,False
AMD Phenom II X6 1100T Black,https://pcpartpicker.com/product/sVNp99/amd-cpu-hde00zfbk6dgr,6,3.3,,K10,125,,AMD,HDE00ZFBK6DGR,AM3,,False
Intel Xeon E3-1245,https://pcpartpicker.com/product/ZCH323/intel-cpu-bx80623e31245,4,3.3,,Sandy Bridge,95,Intel HD Graphics,Intel,BX80623E31245,LGA1155,,True
AMD A4-4000,https://pcpartpicker.com/product/pJh9TW/amd-cpu-ad4000okhlbox,2,3.0,,Piledriver,65,Radeon HD 7480D,AMD,AD4000OKHLBOX,FM2,,False
Intel Pentium G2140,https://pcpartpicker.com/product/4yjG3C/intel-cpu-bx80637g2140,2,3.3,,Ivy Bridge,55,Intel HD Graphics,Intel,BX80637G2140,LGA1155,,False
Intel Core i5-3340S,https://pcpartpicker.com/product/6DBv6h/intel-cpu-bx80637i53340s,4,2.8,3.3,Ivy Bridge,65,Intel HD Graphics 2500,Intel,BX80637I53340S,LGA1155,,False
Intel Xeon E5-2690,https://pcpartpicker.com/product/FnxfrH/intel-cpu-bx80621e52690,8,2.9,3.8,Sandy Bridge,135,,Intel,BX80621E52690,LGA2011,,True
AMD 5150,https://pcpartpicker.com/product/7Zg323/amd-cpu-ad5150jah44hm,4,1.6,,Jaguar,25,Radeon HD 8400,AMD,AD5150JAH44HM,AM1,,False
Intel Core i3-4350,https://pcpartpicker.com/product/HTdqqs/intel-cpu-bx80646i34350,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4600,Intel,BX80646I34350,LGA1150,,True
Intel Core i3-4360,https://pcpartpicker.com/product/tFFPxr/intel-cpu-bx80646i34360,2,3.7,,Haswell Refresh,54,Intel HD Graphics 4600,Intel,BX80646I34360,LGA1150,,True
AMD Sempron 145,https://pcpartpicker.com/product/8QjG3C/amd-cpu-sdx145hbk13gm,1,2.8,,K10,45,,AMD,SDX145HBK13GM,AM3,,False
AMD A10-5800K,https://pcpartpicker.com/product/XfK7YJ/amd-cpu-ad580kwoa44hj,4,3.8,,Piledriver,100,Radeon HD 7660D,AMD,AD580KWOA44HJ,FM2,,False
AMD A10-6800B,https://pcpartpicker.com/product/g3fp99/amd-cpu-ad680bwoa44hl,4,4.1,4.4,Piledriver,100,Radeon HD 8670D,AMD,AD680BWOA44HL,FM2,,False
AMD E2-3200,https://pcpartpicker.com/product/L4XfrH/amd-cpu-ed3200ojz22gx,2,2.4,,Lynx,65,Radeon HD 6370D,AMD,ED3200OJZ22GX,FM1,,False
Intel Xeon E5-1660 V2,https://pcpartpicker.com/product/gr9KHx/intel-cpu-cm8063501291808,6,3.7,4.0,Ivy Bridge,130,,Intel,CM8063501291808,LGA2011,,True
Intel Core i5-5675C,https://pcpartpicker.com/product/TRkwrH/intel-cpu-cm8065802483201,4,3.1,3.6,Broadwell,65,Iris Pro Graphics 6200,Intel,CM8065802483201,LGA1150,,False
Intel Core i3-6320,https://pcpartpicker.com/product/KWbkcf/intel-cpu-bx80662i36320,2,3.9,,Skylake,51,Intel HD Graphics 530,Intel,BX80662I36320,LGA1151,64.0,True
Intel Core i5-6400T,https://pcpartpicker.com/product/8L2rxr/intel-cpu-bxc80662i56400t,4,2.2,2.8,Skylake,35,Intel HD Graphics 530,Intel,BXC80662I56400T,LGA1151,64.0,False
Intel Core i7-6700T,https://pcpartpicker.com/product/67Trxr/intel-cpu-bxc80662i76700t,4,2.8,3.6,Skylake,35,Intel HD Graphics 530,Intel,BXC80662I76700T,LGA1151,64.0,False
Intel Xeon E3-1270 V5,https://pcpartpicker.com/product/Ty4NnQ/intel-cpu-bx80662e31270v5,4,3.6,4.0,Skylake,80,,Intel,BX80662E31270V5,LGA1151,64.0,True
Intel Xeon E3-1260L V5,https://pcpartpicker.com/product/NRTrxr/intel-cpu-cm8066201921903,4,2.9,3.9,Skylake,45,,Intel,CM8066201921903,LGA1151,64.0,True
AMD Athlon X4 845,https://pcpartpicker.com/product/6zfmP6/amd-cpu-ad845xackasbx,4,3.5,3.8,Puma+,65,,AMD,AD845XACKASBX,FM2+,,False
