name,part_url,type,interface,capacity,color,manufacturer,part_number,rpm,form_factor
Western Digital My Book Duo,https://pcpartpicker.com/product/3RK2FT/western-digital-my-book-duo-20-tb-external-hard-drive-wdbfbe0200jbk-nesn,HDD,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,Black,Western Digital,WDBFBE0200JBK-NESN,7200.0,External
Western Digital My Book,https://pcpartpicker.com/product/mvYQzy/western-digital-my-book-14-tb-external-hard-drive-wdbbgb0140hbk-nesn,HDD,USB Type-A 3.2 Gen 2,14000,Black,Western Digital,WDBBGB0140HBK-NESN,,External
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/sC848d/western-digital-wd_black-p10-2-tb-external-hard-drive-wdba2w0020bbk-wesn,HDD,USB Type-A 3.2 Gen 1,2000,Black,Western Digital,WDBA2W0020BBK-WESN,5400.0,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/2FPgXL/western-digital-10-tb-external-hard-drive-wdbwlg0100hbk-nesn,HDD,USB Type-A 3.2 Gen 1,10000,Black,Western Digital,WDBWLG0100HBK-NESN,,External
Crucial X10 Pro,https://pcpartpicker.com/product/v4YRsY/crucial-x10-pro-4-tb-external-ssd-ct4000x10prossd902,SSD,USB Type-C 3.2 Gen 2x2,4000,Black,Crucial,CT4000X10PROSSD902,,External
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/Fyrqqs/apricorn-aegis-fortress-l3-16-tb-external-ssd-afl3-s16tb,SSD,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,Black,Apricorn,AFL3-S16TB,,External
Samsung T5 EVO Portable,https://pcpartpicker.com/product/WwpQzy/samsung-t5-evo-portable-4-tb-external-ssd-mu-ph4t0sam,SSD,USB Type-C 3.2 Gen 1,4000,Black,Samsung,MU-PH4T0S/AM|MU-PH4T0S|MU-PH4T0S/EU,,External
Kingston XS2000,https://pcpartpicker.com/product/wBGhP6/kingston-xs2000-500-gb-external-ssd-sxs2000500g,SSD,USB Type-C 3.2 Gen 2x2,500,Silver,Kingston,SXS2000/500G,,External
Seagate Backup Plus Portable,https://pcpartpicker.com/product/nxyV3C/seagate-backup-plus-portable-5-tb-external-ssd-sthp5000400,HDD,USB Type-A 3.2 Gen 1,5000,Black,Seagate,STHP5000400,,External
Western Digital WD_BLACK D10,https://pcpartpicker.com/product/BJ7G3C/western-digital-wd_black-d10-12-tb-external-hard-drive-wdba5e0120hbk-nesn,HDD,USB Type-A 3.2 Gen 2,12000,Black,Western Digital,WDBA5E0120HBK-NESN,7200.0,External
Samsung T5 EVO Portable,https://pcpartpicker.com/product/6xNYcf/samsung-t5-evo-portable-2-tb-external-ssd-mu-ph2t0sam,SSD,USB Type-C 3.2 Gen 1,2000,Black,Samsung,MU-PH2T0S/AM|MU-PH2T0S|MU-PH2T0S/EU,,External
Western Digital Elements Portable,https://pcpartpicker.com/product/yzQG3C/western-digital-elements-portable-4-tb-external-hard-drive-wdbu6y0040bbk-wesn,HDD,USB Type-A 3.2 Gen 1,4000,Black,Western Digital,WDBU6Y0040BBK-WESN,,External
Western Digital My Book Duo,https://pcpartpicker.com/product/9KXYcf/western-digital-my-book-duo-28-tb-external-hard-drive-wdbfbe0280jbk-nesn,HDD,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",28000,Black,Western Digital,WDBFBE0280JBK-NESN,7200.0,External
Sabrent Rocket XTRM-Q,https://pcpartpicker.com/product/jZBG3C/sabrent-rocket-xtrm-q-16-tb-external-ssd-sb-dxmq-8x2,SSD,USB Type-C 3.2 Gen 2,16000,,Sabrent,SB-DXMQ-8X2,,External
Apricorn Aegis Fortress,https://pcpartpicker.com/product/xCP8TW/apricorn-aegis-fortress-4-tb-external-ssd-a25-3pl256-s4000f,SSD,USB Type-A 3.2 Gen 1,4000,Black,Apricorn,A25-3PL256-S4000F,,External
Western Digital WD_BLACK P50,https://pcpartpicker.com/product/GZjNnQ/western-digital-wd_black-p50-1-tb-external-ssd-wdba3s0010bbk-wesn,SSD,USB Type-C 3.2 Gen 1,1000,Black / Silver,Western Digital,WDBA3S0010BBK-WESN,,External
Toshiba Canvio Basics,https://pcpartpicker.com/product/3wzZxr/toshiba-external-hard-drive-hdtb310xk3aa,HDD,USB Type-A 3.2 Gen 1,1000,,Toshiba,HDTB310XK3AA,5400.0,External
Samsung T7 Shield,https://pcpartpicker.com/product/RvrRsY/samsung-t7-shield-1-tb-external-ssd-mu-pe1t0sam,SSD,USB Type-C 3.2 Gen 2,1000,Black,Samsung,MU-PE1T0S/AM,,External
Kingston XS2000,https://pcpartpicker.com/product/CxRwrH/kingston-xs2000-2-tb-external-ssd-sxs20002000g,SSD,USB Type-C 3.2 Gen 2x2,2000,Silver,Kingston,SXS2000/2000G,,External
Western Digital My Passport Ultra Portable,https://pcpartpicker.com/product/Jcbkcf/western-digital-external-hard-drive-wdbbkd0020bbknesn,HDD,USB Type-A 3.2 Gen 1,2000,,Western Digital,WDBBKD0020BBK-NESN,,External
Asus ROG Strix Arion S500,https://pcpartpicker.com/product/bq7MnQ/asus-rog-strix-arion-s500-500-gb-external-ssd-90dd02i0-m09000,SSD,USB Type-C 3.2 Gen 2,500,Black,Asus,90DD02I0-M09000,,External
Seagate Backup Plus Hub,https://pcpartpicker.com/product/G3rcCJ/seagate-backup-plus-hub-8-tb-external-hard-drive-stel8000100,HDD,USB Type-A 3.2 Gen 2,8000,,Seagate,STEL8000100,5400.0,External
Kingston XS2000,https://pcpartpicker.com/product/G6H7YJ/kingston-xs2000-4-tb-external-ssd-sxs20004000g,SSD,USB Type-C 3.2 Gen 2x2,4000,Silver,Kingston,SXS2000/4000G,,External
