name,part_url,type,color,psu,side_panel,manufacturer,part_number,int_35_bays,ext_525_bays,ext_35_bays,int_25_bays,expansion_slots_full_height,expansion_slots_half_height,expansion_slots_riser,length,width,height,max_gpu_len,max_cpu_cooler_height,mobo_form_factor,front_panel_usb,radiator_support,fan_support
Azza Silentium 920B,https://pcpartpicker.com/product/nBkD4D/azza-case-csaz920b,ATX Mid Tower,Black,,,Azza,CSAZ-920B,5,4,1,0,7,0,0,,,,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,120 mm
In Win BP655.300TB3L,https://pcpartpicker.com/product/xCH323/inwin-case-bp655300tb3l,Mini ITX Tower,Black,200.0,,In Win,BP655.300TB3L,0,1,0,0,0,1,0,264.0,99.0,309.0,,,Mini ITX,USB 3.2 Gen 1 Type-A,,80 mm
In Win C653T.CQ350TB3L,https://pcpartpicker.com/product/24ckcf/inwin-case-c653tcq350tb3l,ATX Mid Tower,Black,,,In Win,C653T.CQ350TB3L,3,3,2,0,7,0,0,424.0,190.0,434.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,,
In Win EM013.CQ350TS3L,https://pcpartpicker.com/product/kyYXsY/inwin-case-em013cq350ts3l,MicroATX Mini Tower,Black,350.0,,In Win,EM013.CQ350TS3L,2,2,2,0,4,0,0,350.0,190.0,381.0,,,Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,,120 mm
In Win H-Frame,https://pcpartpicker.com/product/fWFPxr/inwin-case-hframe,ATX Mid Tower,Blue / Silver,,,In Win,H-FRAME,3,1,0,1,7,0,0,523.0,220.0,546.0,350.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,
In Win IW-Z611T.CQ350TSL,https://pcpartpicker.com/product/jkxfrH/inwin-case-iwz611tcq350tsl,MicroATX Mini Tower,Black / Silver,350.0,,In Win,IW-Z611T.CQ350TSL,1,2,2,0,4,0,0,370.0,180.0,363.0,,,Micro ATX|Mini ITX,USB 2.0 Type-A,,
Silverstone LC16BM-USB3.0,https://pcpartpicker.com/product/6b7wrH/silverstone-case-lc16bmusb30,HTPC,Black,,,Silverstone,LC16BM-USB3.0|SST-LC16BM-USB3.0,6,1,1,0,7,0,0,,,,234.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,,80 mm
Silverstone RL02B-W-USB 3.0,https://pcpartpicker.com/product/8GyFf7/silverstone-case-rl02bwusb30,ATX Mid Tower,Black,,Acrylic,Silverstone,RL02B-W-USB 3.0,7,3,0,1,7,0,0,189.0,442.0,484.0,279.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm|140 mm,120 mm|140 mm
Silverstone RL04W,https://pcpartpicker.com/product/jDtCmG/silverstone-case-rl04w,ATX Mid Tower,White,,Acrylic,Silverstone,RL04W|SST-RL04W,5,4,0,0,7,0,0,,,,292.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm,120 mm|140 mm
Silverstone SG06BB-LITE,https://pcpartpicker.com/product/dPPfrH/silverstone-case-sg06slite,Mini ITX Desktop,Silver,,Acrylic,Silverstone,SG06S-LITE|SST-SG06S-LITE,1,1,0,1,2,0,0,,,,254.0,,Mini ITX,USB 3.2 Gen 1 Type-A,120 mm,120 mm
Xion XON-566TB,https://pcpartpicker.com/product/pqCwrH/xion-case-xon566tb,ATX Mid Tower,Black,,Acrylic,Xion,XON-566TB,4,5,0,0,7,0,0,,,,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,,120 mm|140 mm
Xion XON-710P,https://pcpartpicker.com/product/XvXfrH/xion-case-xon710prd,MicroATX Slim,Red / Black,300.0,,Xion,XON-710P_RD,1,1,0,0,0,4,0,356.0,94.0,284.0,,,Micro ATX|Mini ITX,USB 2.0 Type-A,,80 mm
Xion XON-710P,https://pcpartpicker.com/product/vWFPxr/xion-case-xon710pwt,MicroATX Slim,White,300.0,,Xion,XON-710P_WT,1,1,0,0,0,4,0,356.0,94.0,284.0,,,Micro ATX|Mini ITX,USB 2.0 Type-A,,80 mm
Xion XON-791B,https://pcpartpicker.com/product/LMzv6h/xion-case-xon791b,ATX Mid Tower,Black,,,Xion,XON-791B,3,8,1,0,7,0,0,,,,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,,120 mm
Zalman MS800 Plus,https://pcpartpicker.com/product/TY3RsY/zalman-case-ms800plus,ATX Mid Tower,Black,,Acrylic,Zalman,MS800 Plus,1,6,3,0,7,0,0,,,,300.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm,120 mm
