name,part_url,socket,form_factor,max_memory,memory_slots,color,manufacturer,part_number,memory_type,memory_speed_max,m2_slots,sata_6_ports,sata_3_ports,pci_x16_slots,pci_x8_slots,pci_x4_slots,pci_x1_slots,pci_slots,mini_pcie_msata_slots,uses_back_connect,ecc_support,header_usb_2_0,header_usb_3_2_gen_1,header_usb_3_2_gen_2,header_usb_3_2_gen_2x2,header_usb_2_0__(single_port)
MSI MPG Z590 GAMING CARBON WIFI,https://pcpartpicker.com/product/w8YmP6/msi-mpg-z590-gaming-carbon-wifi-atx-lga1200-motherboard-mpg-z590-gaming-carbon-wifi,LGA1200,ATX,128,4,Black,MSI,MPG Z590 GAMING CARBON WIFI|7D06-001R|Z590CARBWIFI,DDR4,5333,2242/2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)|2242/2260/2280 M-key|2242/2260/2280 M-key,6,0,3,0,0,2,0,,False,False,2,1,1,0,0
Gigabyte B560M DS3H V2,https://pcpartpicker.com/product/CmvdnQ/gigabyte-b560m-ds3h-v2-micro-atx-lga1200-motherboard-b560m-ds3h-v2,LGA1200,Micro ATX,128,4,Black,Gigabyte,B560M DS3H V2|GA-B560M-DS3H-V2,DDR4,5333,2260/2280/22110 M-key|2260/2280 M-key,6,0,1,0,0,2,0,,False,False,2,1,0,0,0
Gigabyte X870M AORUS ELITE WIFI7 ICE,https://pcpartpicker.com/product/Ycy8TW/gigabyte-x870m-aorus-elite-wifi7-ice-micro-atx-am5-motherboard-x870m-aorus-elite-wifi7-ice,AM5,Micro ATX,256,4,White / Silver,Gigabyte,X870M AORUS ELITE WIFI7 ICE,DDR5,8200,2580/25110 M-key|2280/22110 M-key,2,0,2,0,0,0,0,,False,False,2,1,0,1,0
Gigabyte B840 EAGLE WIFI6E,https://pcpartpicker.com/product/gq9nTW/gigabyte-b840-eagle-wifi6e-atx-am5-motherboard-b840-eagle-wf6e,AM5,ATX,256,4,Black,Gigabyte,B840 EAGLE WF6E|B840 EAGLE WIFI6E,DDR5,8200,2580/25110 M-key|2580/25110 M-key|2580/25110 M-key,4,0,4,0,0,0,0,,False,False,2,2,1,0,0
MSI MAG B560 TOMAHAWK WIFI,https://pcpartpicker.com/product/m2mmP6/msi-mag-b560-tomahawk-wifi-atx-lga1200-motherboard-mag-b560-tomahawk-wifi,LGA1200,ATX,128,4,Black,MSI,MAG B560 TOMAHAWK WIFI|7D15-005R|B560TOMAWIFI,DDR4,5066,2242/2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)|2242/2260/2280 M-key|2242/2260/2280 M-key,6,0,2,0,0,1,0,,False,False,2,1,1,0,0
Gigabyte B650 AERO G,https://pcpartpicker.com/product/bCjBD3/gigabyte-b650-aero-g-atx-am5-motherboard-b650-aero-g,AM5,ATX,192,4,Black / Silver,Gigabyte,B650 AERO G,DDR5,6600,2580/25110 M-key|2580/25110 M-key|2580/25110 M-key,4,0,2,0,0,1,0,,False,False,2,1,0,1,0
Gigabyte Z690 AORUS ULTRA,https://pcpartpicker.com/product/bPYmP6/gigabyte-z690-aorus-ultra-atx-lga1700-motherboard-z690-aorus-ultra,LGA1700,ATX,192,4,Black,Gigabyte,Z690 AORUS ULTRA,DDR5,6200,2260/2280/22110 M-key|2260/2280/22110 M-key|2260/2280/22110 M-key|2260/2280/22110 M-key,6,0,3,0,0,0,0,,False,False,2,1,0,1,0
ASRock A620M Pro RS WiFi,https://pcpartpicker.com/product/kvWJ7P/asrock-a620m-pro-rs-wifi-micro-atx-am5-motherboard-a620m-pro-rs-wifi,AM5,Micro ATX,256,4,Silver / Black,ASRock,A620M Pro RS WiFi|90-MXBLX0-A0UAYZ,DDR5,6200,2260/2280 M-key|2260/2280 M-key|2260/2280 M-key|2230 E-key,4,0,1,0,0,0,0,,False,False,2,1,1,0,0
Gigabyte Z890 AORUS PRO ICE,https://pcpartpicker.com/product/2Zgrxr/gigabyte-z890-aorus-pro-ice-atx-lga1851-motherboard-z890-aorus-pro-ice,LGA1851,ATX,256,4,White / Silver,Gigabyte,Z890 AORUS PRO ICE,DDR5,9500,2580/25110 M-key|2580/25110 M-key|2280/22110 M-key|2280 M-key|2280 M-key,4,0,3,0,0,0,0,,False,False,2,1,0,1,0
Asus PRIME B550M-A (WI-FI),https://pcpartpicker.com/product/WCcRsY/asus-prime-b550m-a-wi-fi-micro-atx-am4-motherboard-prime-b550m-a-wi-fi,AM4,Micro ATX,128,4,Black / White,Asus,PRIME B550M-A (WI-FI)|90MB14D0-M0EAY0|90MB14D0-M0AAY0,DDR4,4400,2242/2260/2280/22110 M-key|2242/2260/2280 M-key,4,0,1,0,0,2,0,,False,False,2,1,0,0,0
