name,part_url,price,capacity_w,capacity_va
Tripp Lite SM2200RMDVTAA,https://pcpartpicker.com/product/mf8H99/tripp-lite-ups-sm2200rmdvtaa,11429.19,1920,2200
Tripp Lite SM2200RMXL2UTAA,https://pcpartpicker.com/product/D6X2FT/tripp-lite-ups-sm2200rmxl2utaa,23292.99,1600,2200
Tripp Lite SM3000RMXL2UTAA,https://pcpartpicker.com/product/Cf8H99/tripp-lite-ups-sm3000rmxl2utaa,25517,2880,3000
Tripp Lite SMART1000LCD,https://pcpartpicker.com/product/tXH48d/tripp-lite-ups-smart1000lcd,240.85,500,1000
Tripp Lite SMART1500RMXL2UA,https://pcpartpicker.com/product/6ccMnQ/tripp-lite-ups-smart1500rmxl2ua,1081.99,1350,1500
Tripp Lite SMART1500RMXLN,https://pcpartpicker.com/product/bsJkcf/tripp-lite-ups-smart1500rmxln,1255,1350,1500
Tripp Lite SMART2200RM2UN,https://pcpartpicker.com/product/T4Crxr/tripp-lite-ups-smart2200rm2un,7462.69,1920,2200
Tripp Lite SMART2200VSXL,https://pcpartpicker.com/product/pjcMnQ/tripp-lite-ups-smart2200vsxl,,1600,2200
Tripp Lite SU3000XLCD,https://pcpartpicker.com/product/fKZ2FT/tripp-lite-ups-su3000xlcd,41112,2700,3000
Tripp Lite SU6000RT3U,https://pcpartpicker.com/product/GvVBD3/tripp-lite-ups-su6000rt3u,,4200,6000
Tripp Lite SUINT2000XL,https://pcpartpicker.com/product/JFdFf7/tripp-lite-ups-suint2000xl,,1400,2000
Tripp Lite SMARTINT3000VS,https://pcpartpicker.com/product/nsJkcf/tripp-lite-ups-smartint3000vs,,2250,3000
Tripp Lite SMART700HG,https://pcpartpicker.com/product/sbjWGX/tripp-lite-ups-smart700hg,894.36,450,700
Tripp Lite SMART3000VSTAA,https://pcpartpicker.com/product/HsJkcf/tripp-lite-ups-smart3000vstaa,,2250,3000
Tripp Lite SMART5000RT3U,https://pcpartpicker.com/product/2gL7YJ/tripp-lite-ups-smart5000rt3u,4930.51,4000,5000
Tripp Lite SMART5000TEL3U,https://pcpartpicker.com/product/LCyxFT/tripp-lite-ups-smart5000tel3u,59587.99,3750,5000
APC SUA1500,https://pcpartpicker.com/product/rBPzK8/apc-ups-sua1500,,980,1440
APC SUA1500RM2U,https://pcpartpicker.com/product/WTH48d/apc-ups-sua1500rm2u,,980,1440
CyberPower BRG1500AVRLCD,https://pcpartpicker.com/product/4zM323/cyberpower-ups-brg1500avrlcd,,900,1500
CyberPower BRG1500AVRLCDTAA,https://pcpartpicker.com/product/7tJkcf/cyberpower-ups-brg1500avrlcdtaa,,900,1500
CyberPower BRG850AVRLCD,https://pcpartpicker.com/product/CxYWGX/cyberpower-ups-brg850avrlcd,,510,850
CyberPower CP685AVR,https://pcpartpicker.com/product/dkTrxr/cyberpower-ups-cp685avr,,390,685
CyberPower CP750LCD,https://pcpartpicker.com/product/KjcMnQ/cyberpower-ups-cp750lcd,,420,750
CyberPower CP800AVR,https://pcpartpicker.com/product/P4Crxr/cyberpower-ups-cp800avr,147.95,450,800
CyberPower CP825AVRLCD,https://pcpartpicker.com/product/BCyxFT/cyberpower-ups-cp825avrlcd,154.94,450,825
CyberPower CP850AVRLCD,https://pcpartpicker.com/product/Zpbkcf/cyberpower-ups-cp850avrlcd,196.95,510,850
CyberPower CPS1500AVR,https://pcpartpicker.com/product/wWX2FT/cyberpower-ups-cps1500avr,534.95,950,1500
CyberPower OL10000RT3U,https://pcpartpicker.com/product/g9Wrxr/cyberpower-ups-ol10000rt3u,,9000,10000
CyberPower OL1000RTXL2U,https://pcpartpicker.com/product/m8YWGX/cyberpower-ups-ol1000rtxl2u,1168.95,900,1000
CyberPower OL3000RMXL2U,https://pcpartpicker.com/product/37hj4D/cyberpower-ups-ol3000rmxl2u,,2100,3000
