name,part_url,price,amount
Antec 77064,https://pcpartpicker.com/product/mzKhP6/antec-thermal-paste-77064,,1
Deepcool Z3,https://pcpartpicker.com/product/pMPfrH/deepcool-thermal-paste-z3,,1.5
Thermalright TF8,https://pcpartpicker.com/product/pCwkcf/thermalright-tf8-58-g-thermal-paste-tf8-58g,,5.8
Thermalright TF8,https://pcpartpicker.com/product/HCwkcf/thermalright-tf8-2-g-thermal-paste-tf-8-2g,,2
Cooler Master IC ESSENTIAL E1,https://pcpartpicker.com/product/W4QfrH/cooler-master-ic-essential-e1-375-g-thermal-paste-rg-ice1-tg15-r1,,3.75
NZXT High-performance,https://pcpartpicker.com/product/jw4Ycf/nzxt-high-performance-3-g-thermal-paste-ba-tp003-01,,3
Gelid Solutions GC-4,https://pcpartpicker.com/product/CMFmP6/gelid-solutions-gc-4-10-g-thermal-paste-tc-gc-04-c,,10
Thermaltake TG-50,https://pcpartpicker.com/product/Y8fFf7/thermaltake-tg-50-4-g-thermal-paste-cl-o024-grosgm-a,,4
Scythe Thermal Elixer G,https://pcpartpicker.com/product/sXrqqs/scythe-thermal-elixer-g-35-g-thermal-paste-scteg-1000,19.95,3.5
Deepcool DM9,https://pcpartpicker.com/product/3yP8TW/deepcool-dm9-15-g-thermal-paste-r-dm9-gy015c-g,,1.5
Thermal Hero NEO,https://pcpartpicker.com/product/GfVfrH/thermal-hero-neo-4-g-thermal-paste-th-201204-us,19.99,4
Thermal Hero QUANTUM,https://pcpartpicker.com/product/PsMXsY/thermal-hero-quantum-1-g-thermal-paste-th-501701-us,6.86,1
Prolimatech PK-2 Nano Aluminum High-Grade,https://pcpartpicker.com/product/34H323/prolimatech-thermal-paste-propk230g,54.87,30
Masscool Stars-700,https://pcpartpicker.com/product/ZfXfrH/masscool-thermal-paste-stars700,10.99,0.5
Antec Formula 7 Nano Diamond,https://pcpartpicker.com/product/WtvRsY/antec-thermal-paste-formula7,,4
Cooler Master IceFusion,https://pcpartpicker.com/product/JbmLrH/cooler-master-thermal-paste-rgicfcwr2gp,,40
Gelid Solutions GC-Extreme,https://pcpartpicker.com/product/pGphP6/gelid-solutions-thermal-paste-tcgc0310g,,10
Masscool G751 Shin-Etsu,https://pcpartpicker.com/product/mDPfrH/masscool-thermal-paste-g751,,0.5
Syba CL-PTSL-COOL,https://pcpartpicker.com/product/knPfrH/syba-thermal-paste-clptslcool,13.23,1.5
Sunbeam GI-1,https://pcpartpicker.com/product/QDGkcf/sunbeam-thermal-paste-gi1,,3.5
Thermaltake CL-O001-GROSGM-A,https://pcpartpicker.com/product/TBsKHx/thermaltake-thermal-paste-clo001grosgma,,1.5
Prolimatech PK-Zero,https://pcpartpicker.com/product/3K4NnQ/prolimatech-thermal-paste-propkzero30g,,30
Cooler Master MasterGel Maker,https://pcpartpicker.com/product/zjH8TW/cooler-master-mastergel-maker-15-g-thermal-paste-mastergel-maker,,1.5
Thermalright TFX,https://pcpartpicker.com/product/XDwkcf/thermalright-tfx-62-g-thermal-paste-tfx-62,,6.2
ARCTIC MX-5,https://pcpartpicker.com/product/TBZ9TW/arctic-mx-5-20-g-thermal-paste-actcp00057a,,20
Iceberg Thermal FUZEIce,https://pcpartpicker.com/product/Ksstt6/iceberg-thermal-fuzeice-35-g-thermal-paste-blackice4g-00a,,3.5
Iceberg Thermal FUZEIce Plus,https://pcpartpicker.com/product/3WPQzy/iceberg-thermal-fuzeice-plus-7-g-thermal-paste-blackicep8g-00a,,7
Gelid Solutions GC-4,https://pcpartpicker.com/product/DmLdnQ/gelid-solutions-gc-4-35-g-thermal-paste-tc-gc-04-b,,3.5
ARCTIC MX-2,https://pcpartpicker.com/product/2JJmP6/arctic-mx-2-8-g-thermal-paste-actcp00004b,,8
YEYIAN YCT-PHTC-01,https://pcpartpicker.com/product/fDsV3C/yeyian-yct-phtc-01-2-g-thermal-paste-yct-phtc-01,,2
Deepcool DM9,https://pcpartpicker.com/product/RvyH99/deepcool-dm9-4-g-thermal-paste-r-dm9-gy040c-g,,4
Xilence ZUB-XPTP.X5,https://pcpartpicker.com/product/s2dG3C/xilence-zub-xptpx5-3-g-thermal-paste-xz019,30.57,3
Thermal Hero NEO,https://pcpartpicker.com/product/D8Pv6h/thermal-hero-neo-50-g-thermal-paste-th-201250-us,47.94,50
Thermal Hero METALLIQ,https://pcpartpicker.com/product/pby8TW/thermal-hero-metalliq-1-g-thermal-paste-th-108001-us,19.98,1
Prolimatech PK-Zero,https://pcpartpicker.com/product/FBZ2FT/prolimatech-thermal-paste-propkzero5g,13.99,5
Antec Formula 6 Nano Diamond,https://pcpartpicker.com/product/PVxfrH/antec-thermal-paste-formula6,,4
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,https://pcpartpicker.com/product/f94gXL/arctic-silver-thermal-paste-aa175g,,1.75
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,https://pcpartpicker.com/product/n7tCmG/arctic-silver-thermal-paste-aa14g,,14
Zalman ZM - STG1,https://pcpartpicker.com/product/x6Gkcf/zalman-thermal-paste-zmstg1,,3.5
TUNIQ TX-4 Extreme Performance,https://pcpartpicker.com/product/28phP6/tuniq-thermal-paste-tx4,,1
Evercool TC-25,https://pcpartpicker.com/product/mgvRsY/evercool-thermal-paste-tc25,,25
Cooler Master ThermalFusion 400,https://pcpartpicker.com/product/XvBv6h/cooler-master-thermal-paste-rgtf4tgu1gp,,4
TUNIQ TX-2,https://pcpartpicker.com/product/kJJwrH/tuniq-thermal-paste-tx2,,3.5
Zalman ZM-STG2,https://pcpartpicker.com/product/8Mzv6h/zalman-thermal-paste-zmstg2,,3.5
Xigmatek PTI-G4512,https://pcpartpicker.com/product/MvBv6h/xigmatek-thermal-paste-ptig4512,,4
TUNIQ TX-2 Extreme,https://pcpartpicker.com/product/rvBv6h/tuniq-thermal-paste-tx2ex,,1
Rosewill RCX-TC001,https://pcpartpicker.com/product/RvBv6h/rosewill-thermal-paste-rcxtc001,,5
Masscool Fanner-420,https://pcpartpicker.com/product/YHPfrH/masscool-thermal-paste-fanner420,,2
Arctic Silver Arctic Alumina,https://pcpartpicker.com/product/4nPfrH/arctic-silver-thermal-paste-aata5g,,5
Rosewill RCX-TC090PRO,https://pcpartpicker.com/product/9T6BD3/rosewill-thermal-paste-rcxtc090pro,,20
Xigmatek PTI-G3606,https://pcpartpicker.com/product/7YMFf7/xigmatek-thermal-paste-ptig3606,,3
Biostar TC-DIAMOND,https://pcpartpicker.com/product/V3h9TW/biostar-thermal-paste-tcdiamond,,1.5
Thermaltake CL-O0028,https://pcpartpicker.com/product/RPw323/thermaltake-thermal-paste-clo0028,,4
Xigmatek Freezing Point G4718,https://pcpartpicker.com/product/2nbp99/xigmatek-thermal-paste-freezingpointg4718,,4
Evercool STC-01,https://pcpartpicker.com/product/4Mzv6h/evercool-thermal-paste-stc01,,4
Prolimatech PK-1,https://pcpartpicker.com/product/48fp99/prolimatech-thermal-paste-propk115g,,1.5
Thermene Graphene,https://pcpartpicker.com/product/RJFPxr/thermene-thermal-paste-t23ml,,9
Deepcool Z9,https://pcpartpicker.com/product/cj8Zxr/deepcool-thermal-paste-z9,,3
Evercool STC-02,https://pcpartpicker.com/product/xRs8TW/evercool-thermal-paste-stc02,,3
Logisys Z5,https://pcpartpicker.com/product/wW2kcf/logisys-thermal-paste-z5,,3
Thermaltake CLZ0022,https://pcpartpicker.com/product/qQ8Zxr/thermaltake-thermal-paste-clz0022,,4
Xigmatek Freezing Point G4718,https://pcpartpicker.com/product/xMnG3C/xigmatek-thermal-paste-freezingpoint,,4
Cooler Master Extreme Fusion X1,https://pcpartpicker.com/product/jWX2FT/cooler-master-thermal-paste-rgefx1tg15r1,,1.5
Prolimatech PK-Zero,https://pcpartpicker.com/product/QTCrxr/prolimatech-thermal-paste-propkzero15g,,1.5
Cooler Master MasterGel Maker,https://pcpartpicker.com/product/f2VBD3/cooler-master-thermal-paste-mgzndsgn15mr1,,4
CRYORIG CP15,https://pcpartpicker.com/product/TXyxFT/cryorig-thermal-paste-cp15,,4
CRYORIG CP5,https://pcpartpicker.com/product/zzfmP6/cryorig-thermal-paste-cp5,,4
CRYORIG CP7,https://pcpartpicker.com/product/BNcMnQ/cryorig-thermal-paste-cp7,,4
Innovation Cooling ICD24,https://pcpartpicker.com/product/Zk98TW/innovation-cooling-thermal-paste-icd24,,4.8
Thermalright Chill Factor 3,https://pcpartpicker.com/product/dXkwrH/thermalright-chill-factor-3-4g-thermal-paste-chill-factor-3,,4
Phanteks PH-NDC_02,https://pcpartpicker.com/product/PCzZxr/phanteks-ph-ndc_02-2g-thermal-paste-ph-ndc_02,,2
Graphitene GTP-5,https://pcpartpicker.com/product/w8hKHx/graphitene-gtp-5-35-g-thermal-paste-gtp-5,,3.5
Gelid Solutions GC-2,https://pcpartpicker.com/product/RRbwrH/gelid-solutions-gc-2-7-g-thermal-paste-gc-2,,7
ARCTIC MX-2,https://pcpartpicker.com/product/Rx6qqs/arctic-mx-2-30-g-thermal-paste-actcp00003b,,30
ARCTIC MX-2,https://pcpartpicker.com/product/9dmFf7/arctic-mx-2-65-g-thermal-paste-actcp00006b,,65
