name,part_url,price,type,interface,capacity,price_per_gb,color
Corsair EX100U,https://pcpartpicker.com/product/n67G3C/corsair-ex100u-2-tb-external-ssd-cssd-ex100u2tb,184.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.092,Black
Samsung T7 Portable,https://pcpartpicker.com/product/9WRgXL/samsung-t7-portable-2-tb-external-ssd-mu-pc2t0ham,159,Portable,USB Type-C 3.2 Gen 1,2000,0.08,Blue / Silver
Samsung T7 Shield,https://pcpartpicker.com/product/9rKKHx/samsung-t7-shield-2-tb-external-ssd-mu-pe2t0sam,289.99,Portable,USB Type-C 3.2 Gen 2,2000,0.145,Black
Samsung T7 Portable,https://pcpartpicker.com/product/RG4BD3/samsung-t7-portable-1-tb-external-ssd-mu-pc1t0ham,132,Portable,USB Type-C 3.2 Gen 1,1000,0.132,Blue / Silver
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/LrXMnQ/corsair-ex400u-survivor-1-tb-external-ssd-cssd-ex400us1tb,173.99,Portable,USB Type-C 4.0 Gen 3x2,1000,0.174,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/XPcBD3/western-digital-elements-18-tb-external-hard-drive-wdbwlg0180hbk-nesn,356.99,Desktop,USB Type-A 3.2 Gen 1,18000,0.02,Black
Western Digital easystore,https://pcpartpicker.com/product/Pmxbt6/western-digital-easystore-12-tb-external-hard-drive-wdbcka0120hbk-nesn,331.99,Desktop,USB Type-A 3.2 Gen 1,12000,0.028,
Western Digital My Passport,https://pcpartpicker.com/product/jCfFf7/western-digital-4-tb-external-hard-drive-wdbpkj0040brd-wesn,129.99,Portable,USB Type-A 3.2 Gen 1,4000,0.032,Red
Apricorn ASSD-3PL256-120F,https://pcpartpicker.com/product/QntWGX/apricom-external-hard-drive-assd3pl256120f,,Desktop,USB Type-A 2.0,120,,
Seagate Expansion,https://pcpartpicker.com/product/zyfmP6/seagate-external-hard-drive-steb2000100,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Western Digital My Book Thunderbolt Duo,https://pcpartpicker.com/product/Wtw323/western-digital-external-hard-drive-wdbusk0040jslnesn,,Desktop,Thunderbolt,4000,,
Seagate Backup Plus Slim,https://pcpartpicker.com/product/4cdxFT/seagate-backup-plus-slim-1-tb-external-hard-drive-sthn1000400,90.99,Portable,USB Type-A 3.2 Gen 1,1000,0.091,Black
Toshiba Canvio Basics 3.0,https://pcpartpicker.com/product/Fh4gXL/toshiba-external-hard-drive-hdtb220xk3ca,,Portable,,2000,,
Crucial X9 Pro,https://pcpartpicker.com/product/dbTZxr/crucial-x9-pro-4-tb-external-ssd-ct4000x9prossd902,,Portable,USB Type-C 3.2 Gen 2,4000,,Silver
Lexar Professional SL600,https://pcpartpicker.com/product/rWqrxr/lexar-professional-sl600-2-tb-external-ssd-lsl600x002t-rnbng,159.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.08,Black
Kingston XS1000,https://pcpartpicker.com/product/G8bRsY/kingston-xs1000-1-tb-external-ssd-sxs10001000g,137.99,Portable,USB Type-C 3.2 Gen 2,1000,0.138,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/vnCCmG/western-digital-elements-20-tb-external-hard-drive-wdbwlg0200hbk-nesn,523.99,Desktop,USB Type-A 3.2 Gen 1,20000,0.026,Black
Corsair EX400U,https://pcpartpicker.com/product/LZZWGX/corsair-ex400u-1-tb-external-ssd-cssd-ex400u1tb,144.99,Portable,USB Type-C 4.0 Gen 3x2,1000,0.145,Black
