name,part_url,channels,digital_audio,sample_rate,chipset,interface,manufacturer,part_number
Vantec UGT-S100,https://pcpartpicker.com/product/pp6BD3/vantec-sound-card-ugts100,7.1,,48.0,,PCI,Vantec,UGT-S100
StarTech PCISOUND4CH,https://pcpartpicker.com/product/JZphP6/startech-sound-card-pcisound4ch,4.0,16.0,48.0,C-Media CMI8738,PCI,StarTech,PCISOUND4CH
Asus Xonar Essence,https://pcpartpicker.com/product/y7V48d/asus-sound-card-90yaa0e00uan00z,7.1,24.0,192.0,ASUS AV100,PCI,Asus,90-YAA0E0-0UAN00Z
HT Omega Claro Halo XT,https://pcpartpicker.com/product/gNtCmG/ht-omega-sound-card-clarohaloxt,7.1,24.0,192.0,C-Media CMI8788,PCI,HT Omega,Claro Halo XT
Encore ENM232-8VIA,https://pcpartpicker.com/product/CkYXsY/encore-sound-card-enm2328via,7.1,24.0,96.0,VIA VT1723,PCI,Encore,ENM232-8VIA
HT Omega Claro Halo,https://pcpartpicker.com/product/nrK7YJ/ht-omega-sound-card-clarohalo,5.1,24.0,192.0,C-Media CMI8788,PCI,HT Omega,Claro Halo
Asus Xonar DS,https://pcpartpicker.com/product/jCTmP6/asus-sound-card-90yaa0f00uan00z,7.1,24.0,192.0,ASUS AV200,PCI,Asus,90-YAA0F0-0UAN00Z
Rosewill RC-702,https://pcpartpicker.com/product/xjTmP6/rosewill-sound-card-rc702,7.1,16.0,96.0,C-Media CMI8768,PCI,Rosewill,RC-702
M-Audio Audiophile 192,https://pcpartpicker.com/product/c7V48d/m-audio-sound-card-99005076800,4.0,24.0,192.0,,PCI,M-Audio,9900-50768-00
Creative Labs Sound Blaster Audigy SE OEM,https://pcpartpicker.com/product/f4zv6h/creative-labs-sound-blaster-audigy-se-oem-24-bit-96-khz-sound-card-30sb057000000,7.1,24.0,96.0,,PCI,Creative Labs,30SB057000000
SIIG LP-000022-S2,https://pcpartpicker.com/product/QvrG3C/siig-sound-card-lp000022s2,5.1,24.0,96.0,VIA VT1723,PCI,SIIG,LP-000022-S2
M-Audio US41500C,https://pcpartpicker.com/product/j6Gkcf/m-audio-sound-card-audiophile2496,2.0,24.0,96.0,,PCI,M-Audio,AUDIOPHILE2496
