name,part_url,type,efficiency,wattage,modular,color,manufacturer,part_number,length,atx_4_pin_connectors,eps_8_pin_connectors,pcie_16_pin_12vhpwr_12v_2x6_connectors,pcie_12_pin_connectors,pcie_8_pin_connectors,pcie_6_2_pin_connectors,pcie_6_pin_connectors,sata_connectors,amp_molex_4_pin_connectors
Raidmax Cobra,https://pcpartpicker.com/product/wLsMnQ/raidmax-cobra-650-w-80-gold-certified-fully-modular-atx-power-supply-rx-650aem,ATX,gold,650,Full,Black,Raidmax,RX-650AEM,140.0,0,2,1,0,0,4,0,9,3
be quiet! SFX L Power,https://pcpartpicker.com/product/JrHRsY/be-quiet-sfx-l-power-600-w-80-gold-certified-fully-modular-sfx-power-supply-bn215,SFX,gold,600,Full,Black,be quiet!,BN215|BN615|BN639|BN239,130.0,0,1,0,0,0,4,0,6,3
SeaSonic PRIME TX-1600 ATX 3.1,https://pcpartpicker.com/product/64NYcf/seasonic-prime-tx-1600-atx-31-1600-w-80-titanium-certified-fully-modular-atx-power-supply-atx3-prime-tx-1600,ATX,titanium,1600,Full,Black / Silver,SeaSonic,ATX3-PRIME-TX-1600|PRIME TX-1600 ATX 3.0|SSR-1600TR2|PRIME-TX-1600-ATX30,210.0,0,3,2,0,0,6,0,18,3
Corsair RM750x (2018),https://pcpartpicker.com/product/79tQzy/corsair-rm750x-2018-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020179-na,ATX,gold,750,Full,Black,Corsair,CP-9020179-NA|CP-9020179-EU|CP-9020092-UK|CP-9020179-UK,160.0,0,2,0,0,0,4,0,9,2
be quiet! Dark Power 14,https://pcpartpicker.com/product/fcPv6h/be-quiet-dark-power-14-1200-w-80-titanium-certified-fully-modular-atx-power-supply-bp021us,ATX,titanium,1200,Full,Black,be quiet!,BP021US|BP021UK|BP021EU|BP021AR|BP021JP|BP021AU|BP021U2,175.0,0,2,2,0,0,4,0,13,2
SeaSonic Focus GX V4 ATX 3 (2024),https://pcpartpicker.com/product/YkCZxr/seasonic-focus-gx-atx-30-v4-2024-1000-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-1000-v4,ATX,gold,1000,Full,Black,SeaSonic,FOCUS-GX-1000-V4|Focus V4 GX-1000,140.0,0,2,1,0,0,3,0,8,3
Thermaltake Toughpower GT,https://pcpartpicker.com/product/862j4D/thermaltake-toughpower-gt-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpt-0850fnfagu-w,ATX,gold,850,Full,White,Thermaltake,PS-TPT-0850FNFAGU-W|PS-TPT-0850FNFAGA-W,140.0,0,2,1,0,0,4,0,6,4
Gigabyte P750GM,https://pcpartpicker.com/product/RhH8TW/gigabyte-750-w-80-gold-certified-fully-modular-atx-power-supply-gp-p750gm,ATX,gold,750,Full,Black,Gigabyte,GP-P750GM|GP-P750GM-UK,140.0,0,2,0,0,0,4,0,8,3
be quiet! Dark Power Pro 13,https://pcpartpicker.com/product/Hxgrxr/be-quiet-dark-power-pro-13-1600-w-80-titanium-certified-fully-modular-atx-power-supply-bn501,ATX,titanium,1600,Full,Black,be quiet!,BN501|BN332|BN942|BN712|BN999|BN940,200.0,0,2,2,0,0,6,0,16,5
Gigabyte UD850GM,https://pcpartpicker.com/product/VTgFf7/gigabyte-ud850gm-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm,ATX,gold,850,Full,Black,Gigabyte,GP-UD850GM,140.0,0,2,0,0,0,4,0,8,3
Asus TUF Gaming 1000G,https://pcpartpicker.com/product/wR2WGX/asus-tuf-gaming-1000g-1000-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s1-b0na00,ATX,gold,1000,Full,Black,Asus,90YE00S1-B0NA00|TUF-GAMING-1000G,150.0,0,2,1,0,0,4,0,5,4
Rosewill VSB,https://pcpartpicker.com/product/TZrp99/rosewill-vsb-650-w-80-bronze-certified-semi-modular-atx-power-supply-vsb650,ATX,bronze,650,Semi,Black,Rosewill,VSB650,140.0,0,2,1,0,0,2,0,6,3
Corsair RM750e (2023),https://pcpartpicker.com/product/YRJp99/corsair-rm750e-2023-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020262-na,ATX,gold,750,Full,Black,Corsair,CP-9020262-NA|CP-9020262-UK|CP-9020262-EU|CP-9020262-AU,140.0,0,2,1,0,0,3,0,7,4
Rosewill VMG,https://pcpartpicker.com/product/MM62FT/rosewill-vmg-850-w-80-gold-certified-fully-modular-atx-power-supply-vmg850,ATX,gold,850,Full,Black,Rosewill,VMG850,140.0,0,2,1,0,0,3,0,8,4
Rosewill VMG,https://pcpartpicker.com/product/GhBFf7/rosewill-vmg-750-w-80-gold-certified-fully-modular-atx-power-supply-vmg750,ATX,gold,750,Full,Black,Rosewill,VMG750,140.0,0,2,1,0,0,3,0,8,4
