name,part_url,rpm,color,size,manufacturer,part_number,height,supported_sockets,water_cooled_size,is_water_cooled
Logisys MC4005IB,https://pcpartpicker.com/product/9bMFf7/logisys-cpu-cooler-mc4005ib,"900,1500",,,Logisys,MC4005IB,157.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
Logisys MC4001IM,https://pcpartpicker.com/product/Kfbp99/logisys-cpu-cooler-mc4001im,"500,1500",,,Logisys,MC4001IM,160.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
Logisys MC4002IW,https://pcpartpicker.com/product/Qpckcf/logisys-cpu-cooler-mc4002iw,"500,1500",,,Logisys,MC4002IW,160.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
Logisys MC6002GS,https://pcpartpicker.com/product/k96BD3/logisys-cpu-cooler-mc6002gs,"500,1500",,,Logisys,MC6002GS,158.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
Logisys MC2001IE,https://pcpartpicker.com/product/dmsKHx/logisys-cpu-cooler-mc2001ie,2200,,,Logisys,MC2001IE,130.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
Logisys IC4300X4,https://pcpartpicker.com/product/wgg323/logisys-cpu-cooler-ic4300x4,"400,2800",,,Logisys,IC4300X4,74.0,LGA1366,,False
SilenX EFZ-120HA3,https://pcpartpicker.com/product/JzV48d/silenx-cpu-cooler-efz120ha3,"800,2000",,,SilenX,EFZ-120HA3,145.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
Phanteks PH-TC14PE_OR,https://pcpartpicker.com/product/QNMFf7/phanteks-cpu-cooler-phtc14peor,"700,1200",,,Phanteks,PH-TC14PE_OR,171.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
Phanteks PH-TC14PE_RD,https://pcpartpicker.com/product/gNMFf7/phanteks-cpu-cooler-phtc14perd,"700,1200",,,Phanteks,PH-TC14PE_RD,171.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
Zalman CNPS20LQ,https://pcpartpicker.com/product/JdkD4D/zalman-cnps20lq-liquid-cpu-cooler-cnps20lq,"900,2000",,120.0,Zalman,CNPS20LQ,,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,120.0,True
