name,part_url,interface,color,manufacturer,part_number
Syba SY-ADA24005,https://pcpartpicker.com/product/CdyFf7/syba-sy-ada24005-usb-20-100-mbits-network-adapter-sy-ada24005,USB Type-A 2.0,,Syba,SY-ADA24005
SIIG CN-GP2011-S1,https://pcpartpicker.com/product/PFR48d/siig-wired-network-card-cngp2011s1,PCIe x1,,SIIG,CN-GP2011-S1
Belkin F4U047-RS,https://pcpartpicker.com/product/H2vRsY/belkin-f4u047-rs-usb-20-100-mbits-network-adapter-f4u047-rs,USB Type-A 2.0,,Belkin,F4U047-RS
Rosewill RC-402,https://pcpartpicker.com/product/jHPfrH/rosewill-wired-network-card-rc402,PCI,,Rosewill,RC-402
Edimax EU-4306,https://pcpartpicker.com/product/3x4gXL/edimax-wired-network-card-eu4306,USB Type-A 3.2 Gen 1,,Edimax,EU-4306
Rosewill RC-411,https://pcpartpicker.com/product/stMFf7/rosewill-wired-network-card-rc411,PCIe x1,,Rosewill,RC-411
SIIG CN-GP4011-S1,https://pcpartpicker.com/product/mKfp99/siig-wired-network-card-cngp4011s1,PCIe x4,,SIIG,CN-GP4011-S1
StarTech USB31000SW,https://pcpartpicker.com/product/TL8Zxr/startech-wired-network-card-usb31000sw,USB Type-A 3.2 Gen 1,,StarTech,USB31000SW
Syba SD-ADA24032,https://pcpartpicker.com/product/YvBv6h/syba-wired-network-card-sdada24032,USB Type-A 3.2 Gen 1,,Syba,SD-ADA24032
SIIG JU-NE0511-S1,https://pcpartpicker.com/product/xLzv6h/siig-wired-network-card-june0511s1,USB Type-A 3.2 Gen 1,,SIIG,JU-NE0511-S1
StarTech USB31000SPTB,https://pcpartpicker.com/product/xXjG3C/startech-wired-network-card-usb31000sptb,USB Type-A 3.2 Gen 1,,StarTech,USB31000SPTB
TP-Link TF-3239DL,https://pcpartpicker.com/product/xQtCmG/tp-link-wired-network-card-tf3239dl,PCI,,TP-Link,TF-3239DL
Syba SI-ADA24037,https://pcpartpicker.com/product/9MqdnQ/syba-wired-network-card-siada24037,USB Type-A 3.2 Gen 1,,Syba,SI-ADA24037
SIIG CN-GP1111-S1,https://pcpartpicker.com/product/rJsKHx/siig-wired-network-card-cngp1111s1,PCIe x4,,SIIG,CN-GP1111-S1
Syba SY-ADA24040,https://pcpartpicker.com/product/mXL7YJ/syba-sy-ada24040-network-adapter-sy-ada24040,USB Type-A 3.2 Gen 1,,Syba,SY-ADA24040
Syba SY-PEX24056,https://pcpartpicker.com/product/jyYLrH/syba-sy-pex24056-pcie-x4-10-gbits-network-adapter-sy-pex24056,PCIe x4,Green / Black,Syba,SY-PEX24056
Supermicro SGP-i4,https://pcpartpicker.com/product/QmVD4D/supermicro-sgp-i4-pcie-x4-1000-mbits-network-adapter-sgp-i4,PCIe x4,Green / Silver,Supermicro,SGP-i4
Belkin B2B145-BLK,https://pcpartpicker.com/product/Pkvbt6/belkin-b2b145-blk-usb-type-c-1000-mbits-network-adapter-b2b145-blk,USB Type-C 3.2 Gen 1,Black,Belkin,B2B145-BLK
Rosewill RNG-408U,https://pcpartpicker.com/product/3jcRsY/rosewill-rng-408u-usb-type-c-1000-mbits-network-adapter-rng-408u,USB Type-C 3.2 Gen 1,Black,Rosewill,RNG-408U
Syba SD-PEX24065,https://pcpartpicker.com/product/w8t9TW/syba-sd-pex24065-25-gbs-ethernet-pcie-x1-network-adapter-sd-pex24065,PCIe x1,Green,Syba,SD-PEX24065
