name,part_url,bd,dvd,cd,manufacturer,part_number,form_factor,interface
LG CH10LS28,https://pcpartpicker.com/product/skphP6/lg-optical-drive-ch10ls28,10.0,16.0,48.0,LG,CH10LS28,5.25,SATA 3.0 Gb/s
Pioneer BDR-207MBK,https://pcpartpicker.com/product/sZNp99/pioneer-optical-drive-bdr207mbk,10.0,16.0,40.0,Pioneer,BDR-207MBK,5.25,SATA 3.0 Gb/s
Pioneer BDR-2206,https://pcpartpicker.com/product/J8Gkcf/pioneer-optical-drive-bdr2206,8.0,12.0,40.0,Pioneer,BDR-2206,5.25,SATA 3.0 Gb/s
Lite-On ihas524-T06,https://pcpartpicker.com/product/4Q4gXL/lite-on-optical-drive-ihas524t06,,16.0,48.0,Lite-On,ihas524-T06,5.25,SATA 3.0 Gb/s
LG UH12LS29,https://pcpartpicker.com/product/WvMFf7/lg-optical-drive-uh12ls29,10.0,16.0,48.0,LG,UH12LS29,5.25,SATA 3.0 Gb/s
LG BT30N,https://pcpartpicker.com/product/6XK7YJ/lg-optical-drive-bt30n,6.0,8.0,24.0,LG,BT30N,5.25 Slim,SATA 3.0 Gb/s
Samsung SH-224DB/RSBS,https://pcpartpicker.com/product/Znbp99/samsung-optical-drive-sh224dbrsbs,,16.0,48.0,Samsung,SH-224DB/RSBS,5.25,SATA 3.0 Gb/s
HP 624192-B21,https://pcpartpicker.com/product/sQXfrH/hp-optical-drive-624192b21,,,,HP,624192-B21,5.25,SATA 3.0 Gb/s
Asus DRW-2014L1T,https://pcpartpicker.com/product/B6YXsY/asus-optical-drive-drw2014l1t,,16.0,48.0,Asus,DRW-2014L1T,5.25,SATA 3.0 Gb/s
Samsung SH-S223Q,https://pcpartpicker.com/product/Xz2kcf/samsung-optical-drive-shs223q,,16.0,48.0,Samsung,SH-S223Q,5.25,SATA 3.0 Gb/s
Pioneer BDR-S08XLT,https://pcpartpicker.com/product/CsqdnQ/pioneer-optical-drive-bdrs08xlt,,,,Pioneer,BDR-S08XLT,5.25,SATA 6.0 Gb/s
Samsung SN-208FB/BEBE,https://pcpartpicker.com/product/Lkh9TW/samsung-optical-drive-sn208fbbebe,,8.0,24.0,Samsung,SN-208FB/BEBE,5.25 Slim,SATA 3.0 Gb/s
OcUK iHAS124-14,https://pcpartpicker.com/product/Tpdqqs/ocuk-optical-drive-ihas12414,,16.0,48.0,OcUK,iHAS124-14,5.25,SATA 3.0 Gb/s
OcUK CD-005-OK,https://pcpartpicker.com/product/Z9xfrH/ocuk-optical-drive-cd005ok,10.0,16.0,40.0,OcUK,CD-005-OK,5.25,SATA 3.0 Gb/s
